Area,Region,City,Zone,AgentId,AgentName,CusId,CusName,BuyerPhone,ReceiverPhone,FinancePhone,CH,SubChannel,F,StartWeeks,Days,Latitude,Longitude,VAT,CR,BL,createdDate,TotalDeliveredOrders,PaymentType,CreditDays,CreditLimit,Status,Validation,CreationType,CheckIn,CRExpiryDate,BLExpiryDate,StreetName,DistrictName,AdditionalNum,ZipCode,BuildingNumber,DC,AssignmentType,Geocode Quality,Full Corrected Address
BAHA,West,الباحة,ALBAHA001,,,CS001881,تموينات تبسم الرهوة للمواد الغذائية,"534,256,061",,,Traditional Trade,Medium Grocery,,1,WED,20.06232,41.44796,"311,002,083,100,003","5,800,106,924","43,016,059,720",2023-09-25,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,طريق الملك عبد العزيز,الازهر,8713,25464,3717,KHAMES MUSHAIT,Zone,,
BAHA,West,بلجرشي,ALBAHA001,,,CS001883,سوبر ماركت ومخبز اليوسف,"555,774,478",,,Traditional Trade,Medium Grocery,,1,SUN,19.86077,41.56343,"300,769,559,100,003","5,801,012,114","40,052,034,066",2023-09-25,11,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-06-02,2025-11-18,طريق الملك فهد,الرائد,2792,65635,7928,KHAMES MUSHAIT,Zone,,
BAHA,West,بلجرشي,ALBAHA001,,,CS001889,تموينات البساطة للمواد الغذائية,"508,093,329",,,Traditional Trade,Medium Grocery,,1,SUN,19.85453,41.58231,"311,236,752,300,003","5,800,107,937","440,310,745,613",2023-09-25,7,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,طريق الملك عبد العزيز,السلام,2035,65652,8041,KHAMES MUSHAIT,Zone,,
BAHA,West,بلجرشي,ALBAHA001,,,CS001893,تموينات وائل صالح عطية الغامدي للمواد الغذائية,"553,564,490",,,Traditional Trade,Medium Grocery,,1,SUN,19.85485,41.58206,"311,321,505,200,003","5,801,774,151","43,037,185,458",2023-09-25,9,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,الملك عبد العزيز,الحال,4734,65635,7286,KHAMES MUSHAIT,Zone,,
BAHA,West,بلجرشي,ALBAHA001,,,CS001895,تموينات بن خضران,"552,573,633",,,Traditional Trade,Medium Grocery,,1,SUN,19.83995,41.59870,"300,861,771,900,003","5,801,775,310","42,125,992,634",2023-09-25,4,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,الملك عبد العزيز,المروة,8168,65637,4305,KHAMES MUSHAIT,Zone,,
BAHA,West,بلجرشي,ALBAHA001,,,CS001897,اسواق مستقبل الوليد للمواد الغذائية,"504,760,070",,,Traditional Trade,Large Grocery,,1,SUN,19.83968,41.59921,"310,068,716,500,003","5,801,012,543","40,082,110,045",2023-09-25,12,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,الملك عبد العزيز,المروة,3932,65634,8442,KHAMES MUSHAIT,Zone,,
BAHA,West,بلجرشي,ALBAHA001,,,CS001903,متاجر ومخابز ثمار,"590,461,682",,,Traditional Trade,Medium Grocery,,1,SUN,19.85929,41.56357,"310,256,784,300,003","5,801,774,504","40,052,038,067",2023-09-25,4,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,طريق الملك فيصل,بلجرشي,7011,65635,2791,KHAMES MUSHAIT,Zone,,
BAHA,West,بلجرشي,ALBAHA001,,,CS001905,اسواق فارس عبدالله ابن علي الغامدي للتجاره,"557,717,453",,,Traditional Trade,Large Grocery,,1,SUN,19.86530,41.56450,"311,042,897,300,003","5,800,109,753","441,012,094,983",2023-09-26,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,النخبة,الرائد,7568,65652,3486,KHAMES MUSHAIT,Zone,,
BAHA,West,الباحة,ALBAHA001,,,CS001913,الشركة الجنوب سريع للتجاره,"530,305,100",,,Traditional Trade,Medium Grocery,,1,MON,20.01366,41.45720,"311,286,081,100,003","5,810,017,300","450,112,712,928",2023-09-26,6,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,طريق الملك عبد العزيز,السوق,2144,65528,6576,KHAMES MUSHAIT,Zone,,
BAHA,West,الباحة,ALBAHA001,,,CS001914,شركة السلة الزرقاء للمواد الغذائية,"550,461,819",,,Traditional Trade,Medium Grocery,,1,MON,20.01656,41.45472,"311,157,139,800,003","5,800,021,764","40,031,761,069",2023-09-26,12,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,طريق الملك عبد العزيز,السوق,2147,65625,7583,KHAMES MUSHAIT,Zone,,
BAHA,West,الباحة,ALBAHA001,,,CS001922,بقالة لؤلؤ الباحة للمواد الغذائية,"505,313,399",,,Traditional Trade,Large Grocery,,1,MON,20.01233,41.46358,"311,041,971,100,003","5,800,103,117","40,102,472,035",2023-09-26,17,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-01-02,2026-04-16,العام,السوق,3352,12631,9100,KHAMES MUSHAIT,Zone,,
BAHA,West,الباحة,ALBAHA001,,,CS001925,تموينات دوار الشفا,"506,848,882",,,Traditional Trade,Medium Grocery,,1,MON,20.00965,41.45670,"311,305,606,500,003","5,800,016,540","40,072,072,815",2023-09-26,3,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-09-25,2024-11-23,طريق الملك فيصل,الحجاز,6957,65522,4015,KHAMES MUSHAIT,Zone,,
BAHA,West,الباحة,ALBAHA001,,,CS001929,تموينات شركة سناء للمواد الغذائية,"506,281,928",,,Traditional Trade,Medium Grocery,,1,SUN,19.87054,41.57398,"311,511,335,700,003","5,801,017,214","40,122,540,693",2023-09-26,9,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-04-19,2025-07-28,الملك عبد العزيز,طليلان,2114,65651,7903,KHAMES MUSHAIT,Zone,,
BAHA,West,الباحة,ALBAHA001,,,CS001931,تموينات خيرات كنان,"554,080,913",,,Traditional Trade,Medium Grocery,,1,MON,20.04039,41.49578,"300,735,695,300,003","5,800,100,320","450,212,965,868",2023-09-26,3,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,طريق الملك فهد,النزهة,5233,65721,6380,KHAMES MUSHAIT,Zone,,
BAHA,West,الباحة,ALBAHA001,,,CS001932,تموينات دكان جدي للمواد الغذائية,"555,003,931",,,Traditional Trade,Medium Grocery,,1,MON,20.04738,41.49860,"300,748,077,800,003","5,800,012,669","40,082,140,862",2023-09-26,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2024-09-24,2026-02-28,العام,الصفا,5508,65724,7128,KHAMES MUSHAIT,Zone,,
BAHA,West,الباحة,ALBAHA001,,,CS001936,تموينات جارالله التجارية,"540,900,779",,,Traditional Trade,Medium Grocery,,1,MON,20.05350,41.50301,"300,790,291,300,003","5,800,008,819","40,062,043,733",2023-09-26,8,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,طريق الملك فهد,النسيم,7411,65715,3173,KHAMES MUSHAIT,Zone,,
BAHA,West,الباحة,ALBAHA001,,,CS001937,سوبر ماركت ودق,"536,604,078",,,Traditional Trade,Medium Grocery,,1,MON,20.06175,41.51904,"311,366,164,800,003","5,800,106,774","441,212,663,639",2023-09-26,2,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,طريق الملك فهد,الصفا,8486,65715,4762,KHAMES MUSHAIT,Zone,,
BAHA,West,الباحة,ALBAHA001,,,CS001938,مؤسسة سنابل التوفيق للمواد الغذائية,"530,988,492",,,Traditional Trade,Small Grocery,,1,MON,20.09282,41.58384,"311,111,111,111,113","5,800,106,602","42,105,757,643",2023-09-26,2,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-03-02,2025-05-04,الهيثم بن نصر بن دهر الاسلمي,الشروق,6259,65525,3893,KHAMES MUSHAIT,Zone,,
BAHA,West,العقيق,ALBAHA001,,,CS001943,اسواق توفير العقيق التجارية,"568,349,044",,,Traditional Trade,Medium Grocery,,1,THU,20.27051,41.65660,"300,733,776,100,003","5,810,432,017","40,082,092,117",2023-09-27,5,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2024-12-08,2025-01-31,السناق,النخيل,8056,65912,2589,KHAMES MUSHAIT,Zone,,
BAHA,West,العقيق,ALBAHA001,,,CS001944,أسواق ومخابز الشاكرين الحديثه,"532,965,182",,,Traditional Trade,Large Grocery,,1,THU,20.27165,41.65897,"311,366,164,800,003","5,800,106,774","42,075,346,655",2023-09-27,12,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-05-24,2026-02-05,طريق الملك فهد,الصفا,8486,65715,4762,KHAMES MUSHAIT,Zone,,
BAHA,West,العقيق,ALBAHA001,,,CS001946,سوبر ماركت رؤى,"502,033,615",,,Traditional Trade,Medium Grocery,,1,THU,20.27147,41.65946,"310,071,412,600,003","5,810,431,503","410,426,355",2023-09-27,2,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,العام,السوق,0000,00000,0000,KHAMES MUSHAIT,Zone,,
BAHA,West,العقيق,ALBAHA001,,,CS001947,مركز سعيد سعيد,"559,480,823",,,Traditional Trade,Medium Grocery,,1,THU,20.27155,41.65937,"300,822,472,800,003","5,810,009,507","40,041,968,793",2023-09-27,4,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,العام,النخيل,8171,65912,2941,KHAMES MUSHAIT,Zone,,
BAHA,West,العقيق,ALBAHA001,,,CS001949,سوبر فيحاء العقيق التجارية,"500,265,105",,,Traditional Trade,Medium Grocery,,1,THU,20.28239,41.65314,"300,646,967,200,003","5,810,014,218","42,095,518,824",2023-09-27,3,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,العام,الصناق,4320,29353,6307,KHAMES MUSHAIT,Zone,,
BAHA,West,العقيق,ALBAHA001,,,CS001950,تموينات مدينة الغذاء للمواد الغذائية,"556,173,088",,,Traditional Trade,Medium Grocery,,1,THU,20.26594,41.65135,"311,111,870,500,003","5,810,431,553","41,042,620,170",2023-09-27,8,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,عكاشة بن محصن,النخيل,4285,65911,8776,KHAMES MUSHAIT,Zone,,
BAHA,West,الباحة,ALBAHA001,,,CS002239,بقاله الهبوب للمواد الغذائية,"534,553,241",,,Traditional Trade,Medium Grocery,,1,WED,20.22273,41.36402,"310,422,148,300,003","5,800,107,690","43,079,361,683",2023-10-23,3,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-01-22,2025-01-16,العام,خارج حدود الأحياء,5199,65316,8266,KHAMES MUSHAIT,Zone,,
BAHA,West,الباحة,ALBAHA001,,,CS002241,مؤسسة رائد الجنوب للمواد الغذائية,"559,946,588",,,Traditional Trade,Medium Grocery,,1,WED,20.10355,41.44355,"311,813,600,400,003","5,800,105,399","4,501,121,252",2023-10-23,2,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-04-19,2024-07-31,الملك عبد العزيز,الندى,5528,65733,7849,KHAMES MUSHAIT,Zone,,
BAHA,West,الباحة,ALBAHA001,,,CS002243,تموينات عزه علي خضر الزهراني للمواد الغذائية,"503,217,704",,,Traditional Trade,Medium Grocery,,1,WED,20.06764,41.44967,"311,239,028,800,003","5,800,108,619","440,410,839,591",2023-10-23,4,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,جميل بن سراقة القفاري,السحاب,5932,65732,7400,KHAMES MUSHAIT,Zone,,
BAHA,West,الباحة,ALBAHA001,,,CS002245,تموينات الباحة للمواد الغذائية,"559,268,483",,,Traditional Trade,Medium Grocery,,1,WED,20.06659,41.44981,"310,243,531,900,003","5,800,103,553","43,069,095,283",2023-10-23,3,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,طريق الملك عبد العزيز,الربيع,2315,65722,6603,KHAMES MUSHAIT,Zone,,
BAHA,West,الباحة,ALBAHA001,,,CS002246,شركة تاج الباحة للمواد الغذائية,"550,349,834",,,Traditional Trade,Medium Grocery,,1,MON,20.01275,41.46398,"311,041,971,100,003","5,800,010,328","40,031,936,543",2023-10-23,5,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-01-02,2024-09-25,العام,السوق,6259,32415,3893,KHAMES MUSHAIT,Zone,,
BAHA,West,بلجرشي,ALBAHA001,,,CS002250,تموينات صالح عبدالرحمن غرم الله الغامدي,"559,329,389",,,Traditional Trade,Medium Grocery,,1,SUN,19.85161,41.58296,"300,686,984,200,003","5,800,102,421","40,031,843,728",2023-10-24,3,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-07-13,2025-06-18,شطيبة,السلام,5566,22888,2435,KHAMES MUSHAIT,Zone,,
BAHA,West,العقيق,ALBAHA001,,,CS002256,شركة اطلال التوفير للمواد الغذائية,"558,389,410",,,Traditional Trade,Large Grocery,,1,THU,20.27581,41.66008,"311,187,009,100,003","5,810,432,377","41,083,500,729",2023-10-24,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,الاحوص بن عبد بن أمية,المطار,4578,65914,8226,KHAMES MUSHAIT,Zone,,
BAHA,West,المندق,ALBAHA001,,,CS002257,تموينات تلال للمواد الغذائية,"509,512,307",,,Traditional Trade,Medium Grocery,,1,TUE,20.04072,41.41781,"310,896,900,200,003","5,800,106,481","43,047,972,378",2023-10-25,3,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,طريق المندق السياحي,الجوهرة,2788,65541,9148,KHAMES MUSHAIT,Zone,,
BAHA,West,المندق,ALBAHA001,,,CS002258,محل هلا طيبة للمواد الغذائية,"559,403,736",,,Traditional Trade,Medium Grocery,,1,TUE,20.04757,41.37598,"310,229,789,700,003","5,800,106,064","40,082,101,356",2023-10-25,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,العام,العين,7501,65541,2193,KHAMES MUSHAIT,Zone,,
BAHA,West,المندق,ALBAHA001,,,CS002259,تموينات طيبة الجنوب للمواد الغذائية,"556,847,640",,,Traditional Trade,Medium Grocery,,1,TUE,20.09145,41.30825,"311,021,418,800,003","5,802,016,480","440,511,182,825",2023-10-25,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-07-02,2024-12-25,مروان بن الحكم,المصائف,7528,65757,5101,KHAMES MUSHAIT,Zone,,
BAHA,West,المندق,ALBAHA001,,,CS002260,تموينات انهار الخيرات التجارية,"530,305,650",,,Traditional Trade,Large Grocery,,1,TUE,20.13768,41.29268,"300,787,305,100,003","5,802,013,523","44,000,000,000,002",2023-10-25,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-06-02,2023-07-18,الملك عبدالله بن عبد العزيز,الرضوان,3298,65749,6707,KHAMES MUSHAIT,Zone,,
BAHA,West,المندق,ALBAHA001,,,CS002261,مؤسسة بن جابر للمواد الغذائية,"557,722,525",,,Traditional Trade,Medium Grocery,,1,TUE,20.11690,41.28311,"300,704,478,700,003","5,802,014,782","42,075,359,161",2023-10-25,2,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,العام,المندق,9038,65576,9028,KHAMES MUSHAIT,Zone,,
BAHA,West,المندق,ALBAHA001,,,CS002262,مركز رمادا للتموين,"551,842,010",,,Traditional Trade,Medium Grocery,,1,TUE,20.14889,41.29080,"300,689,802,900,003","5,802,013,761","43,026,459,003",2023-10-25,5,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,خالد بن الوليد رضي الله عنه,البدر,4005,65758,7173,KHAMES MUSHAIT,Zone,,
BAHA,West,بلجرشي,ALBAHA001,,,CS002491,تموينات مقمور للمواد الغذائية,"557,717,756",,,Traditional Trade,Medium Grocery,,1,SUN,19.89387,41.57540,"300,710,997,100,003","5,801,013,915","40,062,049,929",2023-11-19,3,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-05-15,2024-12-06,الملك عبدالعزيز,مقمور,3089,65644,7987,KHAMES MUSHAIT,Zone,,
