Area,Region,City,Zone,AgentId,AgentName,CusId,CusName,BuyerPhone,ReceiverPhone,FinancePhone,CH,SubChannel,F,StartWeeks,Days,Latitude,Longitude,VAT,CR,BL,createdDate,TotalDeliveredOrders,PaymentType,CreditDays,CreditLimit,Status,Validation,CreationType,CheckIn,CRExpiryDate,BLExpiryDate,StreetName,DistrictName,AdditionalNum,ZipCode,BuildingNumber,DC,AssignmentType,Geocode Quality,Full Corrected Address
,,تثليث,BISH001,,,CS002362,اسواق العالميه,"509,391,455",,,Traditional Trade,Medium Grocery,,2,SAT,19.32509,43.47237,"302,143,694,900,003","7,007,509,024","3,909,375,610",2023-11-09,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,شارع عام,تثليث,0,0,0,KHAMES MUSHAIT,Zone,,
,,تثليث,BISH001,,,CS002365,اسواق السالم,"561,615,510",,,Traditional Trade,Medium Grocery,,2,SAT,19.53353,43.50107,"300,488,181,300,003","5,854,000,416","390,375,379",2023-11-09,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,طريق الملك عبدالعزيز,الغزالة,0,0,0,JEDDAH,Zone,,
,,تثليث,BISH001,,,CS002367,جيم مارت,"558,393,834",,,Traditional Trade,Medium Grocery,,2,SUN,19.49391,43.58962,"310,872,643,500,003","5,854,101,609","42,034,232,369",2023-11-09,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,شارع عام,تثليث,0,0,0,JEDDAH,Zone,,
,,بيشة,BISH001,,,CS003084,اسواق حياكم,"506,949,924",,,Traditional Trade,Medium Grocery,,1,MON,19.97419,42.59518,"311,374,843,100,003","5,851,005,058","41,022,585,320",2024-01-22,5,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-06-15,2024-09-23,اسعد بن زراره,الحزامى,0,0,0,JEDDAH,Zone,,
,,,BISH001,,,CS004019,مؤسسه مني فراج,,,,,,,2,THU,20.47361,45.57506,"310,356,386,900,003","7,008,891,637",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,BISH001,,,CS004020,محطه الجويزى بجاد على,,,,,,,2,SUN,19.74713,43.84686,"310,749,372,400,003","5,854,101,892",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,BISH001,,,CS004021,تموينات محمد سالم عجيان الدوسري,,,,,,,2,WED,20.40971,45.43963,"300,460,368,600,003","1,017,000,703",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,BISH001,,,CS004022,تموينات مصعب معيكل الحرارشه الدوسري للمواد الغذائي,,,,,,,2,TUE,20.43752,44.87246,"310,635,833,300,003","1,185,102,636",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,BISH001,,,CS004030,محل علي حسن بن علي الحبابي للمواد الغذائيه,,,,,,,2,SUN,19.39775,43.54551,"302,143,694,900,003","5,854,101,236",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,BISH001,,,CS004031,الخليج تثليث,,,,,,,2,SUN,19.54282,43.51777,"302,184,319,200,003","5,950,111,580",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,BISH001,,,CS004032,شركة رواد الطيف المحدودة,,,,,,,2,SAT,19.53354,43.50159,"311,278,397,400,003","5,855,057,320",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,BISH001,,,CS004033,محطه الغزاله بلص,,,,,,,2,SUN,19.53314,43.50946,"300,425,707,400,003","5,854,100,594",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,BISH001,,,CS004034,مؤسسة هادي عبيد الحبابي التجارية  ( اسواق السالم ),,,,,,,2,SAT,19.53354,43.50106,"300,488,181,300,003","5,854,000,416",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,BISH001,,,CS004035,تموينات ناصر تثليث,,,,,,,2,SUN,19.54279,43.51829,"302,184,319,200,003","5,956,274,966",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,BISH001,,,CS004036,تموينات برج التعاون للمواد الغذائيه,,,,,,,2,SAT,19.47507,43.50666,"311,074,694,900,003","5,854,101,780",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,BISH001,,,CS004079,مؤسسة ابن حمد للتجارة,,,,,,,2,MON,20.47617,44.77429,"311,517,013,500,003","1,185,000,790",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,BISH001,,,CS004080,ابن حمد لبيع المواد الغذائيه بالجملة والمفرق- فطمه,,,,,,,2,MON,20.46163,44.78113,"301,017,909,800,003","40,031,725,736",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,BISH001,,,CS004108,تموينات قمة الجود,,,,,,,1,THU,20.03985,42.61753,"300,713,284,700,003","5,851,872,739",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,BISH001,,,CS004109,تموينات مشاري,,,,,,,1,WED,20.00408,42.61393,"311,520,245,300,003","5,851,880,614",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,BISH001,,,CS004111,الاخوين الشامله,,,,,,,1,THU,20.02842,42.61476,"305,006,680,000,003","5,851,877,019",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,BISH001,,,CS004112,مؤسسة دار البيادر التجارية,,,,,,,1,WED,19.98875,42.60757,"300,042,843,900,003","1,010,029,203",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,BISH001,,,CS004113,بقالة المجد الفضي التجارية,,,,,,,1,WED,20.01229,42.62044,"310,217,478,400,003","43,047,934,654",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,BISH001,,,CS004114,شركة محمد صالح حزام القرني,,,,,,,1,TUE,20.00891,42.60440,"301,143,968,900,003","5,851,004,180",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,BISH001,,,CS004115,تموينات حياكم للمواد الغذائية,,,,,,,1,WED,20.00850,42.61873,"311,374,843,100,003","5,851,005,058",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,BISH001,,,CS004116,تموينات جذور الخيرات للمواد الغذائية,,,,,,,1,SUN,19.98814,42.34307,"300,879,294,200,003","40,031,962,853",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,BISH001,,,CS004118,تموينات الجود,,,,,,,1,WED,20.00036,42.61749,"300,713,284,700,003","5,851,872,739",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,BISH001,,,CS004120,شركة متاجر الأوائل التجارية  1,,,,,,,1,TUE,19.99404,42.60254,"311,739,109,200,003","5,852,004,349",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
