Area,Region,City,Zone,AgentId,AgentName,CusId,CusName,BuyerPhone,ReceiverPhone,FinancePhone,CH,SubChannel,F,StartWeeks,Days,Latitude,Longitude,VAT,CR,BL,createdDate,TotalDeliveredOrders,PaymentType,CreditDays,CreditLimit,Status,Validation,CreationType,CheckIn,CRExpiryDate,BLExpiryDate,StreetName,DistrictName,AdditionalNum,ZipCode,BuildingNumber,DC,AssignmentType,Geocode Quality,Full Corrected Address
,,,DAM001,,,CS017732,بخيت الصيعري,,,,,,,1,SUN,26.39562,50.04343,"311,378,264,700,003","2,050,074,929",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,DAM001,,,CS017782,مركز شفا عبدرب الرسول آل سنان للتسويق,,,,,,,1,WED,26.39595,50.01862,"300,625,863,400,003","2,050,693,548",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,DAM001,,,CS017794,مؤسسة حمدان حمود العتيبي التجارية,,,,,,,1,TUE,26.40249,50.02807,"310,288,667,100,003","7,003,215,945",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,DAM001,,,CS017795,مؤسسة حنين الشرقية التجارية  1,,,,,,,1,MON,26.40241,50.03561,"300,802,093,100,003","7,023,943,543",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,DAM001,,,CS017798,تموينات الجزيرة,,,,,,,1,SAT,26.42056,50.04812,"310,272,392,500,003","7,033,235,269",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,DAM001,,,CS017799,شركه اضواء سهيل للمواد الغذائيه,,,,,,,2,MON,26.42142,50.02446,"311,309,544,800,003","2,050,056,375",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,DAM001,,,CS017800,تموينات بدر,,,,,,,1,MON,26.39600,50.03795,"301,040,164,200,003","7,032,165,498",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,DAM001,,,CS017801,مؤسسة عبير سعيد عبدالله الصيعري للمواد الغذائية,,,,,,,1,SAT,26.40724,50.05891,"310,361,292,700,003","7,033,214,569",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,DAM001,,,CS017802,شركة نجوم الراحه للتسويق,,,,,,,1,SUN,26.40051,50.04065,"310,148,078,600,003","7,006,541,239",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,DAM001,,,CS017803,نور الزاد 2,,,,,,,1,SUN,26.41189,50.03305,"310,288,839,200,003","7,002,354,465",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,DAM001,,,CS017804,تموينات قيم البركة للمواد الغذائيه,,,,,,,2,MON,26.42091,50.02666,"310,347,925,800,003","7,032,541,684",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,DAM001,,,CS017805,تموينات افراح سالم بن سعيد المنهالي للمواد الغذائي,,,,,,,1,TUE,26.41230,50.01782,"311,075,722,100,003","7,089,624,465",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,DAM001,,,CS017806,مركزعبدالله ابوطافش للتسويق,,,,,,,1,TUE,26.41193,50.01676,"300,406,242,800,003","7,065,412,380",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,DAM001,,,CS017830,تموينات الملكي,,,,,,,2,SAT,26.43689,50.03017,"301,250,208,800,003","2,050,239,096",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,DAM001,,,CS017831,تموينات النمر,,,,,,,2,SAT,26.43921,50.04144,"311,527,008,500,003","2,053,012,715",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,DAM001,,,CS017841,تموينات البندري,,,,,,,2,THU,26.42153,50.00232,"312,065,051,600,003","2,050,161,222",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,DAM001,,,CS017842,محامص دله وبهارات للقهوة,,,,,,,1,WED,26.41113,50.00483,"311,140,887,200,003","2,050,152,950",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,DAM001,,,CS017891,عبدالعزيز الزاهر,,,,,,,2,TUE,26.42174,50.01206,"310,349,825,400,003","2,050,131,219",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
