Area,Region,City,Zone,AgentId,AgentName,CusId,CusName,BuyerPhone,ReceiverPhone,FinancePhone,CH,SubChannel,F,StartWeeks,Days,Latitude,Longitude,VAT,CR,BL,createdDate,TotalDeliveredOrders,PaymentType,CreditDays,CreditLimit,Status,Validation,CreationType,CheckIn,CRExpiryDate,BLExpiryDate,StreetName,DistrictName,AdditionalNum,ZipCode,BuildingNumber,DC,AssignmentType,Geocode Quality,Full Corrected Address
,,,HAF001,,,CS027060,تموينات عناد سعد جريد  الحربى للمواد الغذائية,,,,,,,1,SUN,28.30569,46.11069,"305,000,769,300,003","2,512,100,415",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAF001,,,CS027061,تموينات خالد محمد رجاء الحربى2,,,,,,,1,SUN,28.30689,46.11632,"311,098,468,700,003","2,511,108,252",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAF001,,,CS027062,لافى حفرالباطن,,,,,,,1,SUN,28.30858,46.11749,"310,377,497,500,003","41,083,528,192",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAF001,,,CS027063,تموينات خالد محمد رجاء الحربى1,,,,,,,1,SUN,28.31532,46.12245,"311,778,109,800,003","2,512,100,981",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAF001,,,CS027064,محطة صفا حفرالباطن,,,,,,,1,SUN,28.30141,46.13406,"310,080,173,400,003","2,511,116,804",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAF001,,,CS027066,محل الاخلاص للمواد الغذائيه,,,,,,,1,MON,28.37356,45.97412,"311,044,677,300,003","2,511,106,849",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAF001,,,CS027067,الرجعان حفرالباطن,,,,,,,1,SUN,28.29412,46.11486,"302,263,852,600,003","2,512,100,130",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAF001,,,CS027068,هلا3 حفرالباطن,,,,,,,1,SUN,28.29986,46.11795,"310,784,025,900,003","2,512,100,789",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAF001,,,CS027071,الخليج حفرالباطن,,,,,,,1,SUN,28.30211,46.12875,"300,921,583,800,003","2,511,107,886",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAF001,,,CS027072,الغيثم حفر الباطن,,,,,,,1,MON,28.37108,45.98243,"302,151,392,700,003","43,089,547,065",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAF001,,,CS027073,شركة ركن الدواس للتموينات,,,,,,,2,SAT,28.44029,46.03738,"310,772,618,500,003","2,511,121,345",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAF001,,,CS027074,تموينات نورة مطر بن خلف الحربي للمواد الغذائية,,,,,,,2,SAT,28.42489,46.03605,"310,216,625,600,003","2,511,108,901",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAF001,,,CS027075,شركه دره الوافى للمواد الغذائيه,,,,,,,2,SAT,28.41431,46.03834,"311,430,836,200,003","2,511,110,937",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAF001,,,CS027076,صفا حفرالباطن,,,,,,,2,SAT,28.42879,46.03551,"300,833,497,100,003","2,511,100,220",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAF001,,,CS027079,بترو لما حفر الباطن,,,,,,,1,SAT,28.39583,45.96997,"311,251,238,700,003","2,515,005,481",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAF001,,,CS027080,الغمرى حفرالباطن,,,,,,,1,SAT,28.39244,45.98402,"310,497,547,300,003","2,511,116,032",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAF001,,,CS027095,تموينات مبارك سعيد العمرى,,,,,,,2,MON,28.12493,45.66951,"301,034,268,500,003","2,511,611,286",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAF001,,,CS027096,الفردوس حفرالباطن,,,,,,,2,MON,28.12269,45.66925,"302,212,880,800,003","2,514,100,101",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAF001,,,CS027097,تموينات شيمه شبيب للمواد الغذائيه,,,,,,,2,TUE,28.11801,45.66418,"301,109,559,900,003","2,511,103,789",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAF001,,,CS027098,شركة تموينات بداية الخير للمواد الغذائية,,,,,,,2,MON,28.11962,45.66622,"311,365,128,800,003","2,514,100,127",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAF001,,,CS027099,مبارك سعيد العمرى,,,,,,,2,MON,28.11995,45.67179,"301,034,268,500,003","2,511,611,286",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAF001,,,CS027100,تموينات النخيل,,,,,,,2,MON,28.12015,45.66637,"311,075,092,300,003","2,514,100,294",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAF001,,,CS027101,موسسة فاطمة محمد الصميدى للمواد الغذائية,,,,,,,2,TUE,28.11498,45.66053,"311,378,247,500,003","4,103,260,046",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAF001,,,CS027102,الجوهرة حفرالباطن,,,,,,,2,MON,28.11877,45.67315,"300,860,261,700,003","25,111,111,608",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAF001,,,CS027103,اسواق الخليوى حفرالباطن,,,,,,,2,TUE,27.99138,45.55655,"311,251,238,700,003","2,515,005,481",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
