Area,Region,City,Zone,AgentId,AgentName,CusId,CusName,BuyerPhone,ReceiverPhone,FinancePhone,CH,SubChannel,F,StartWeeks,Days,Latitude,Longitude,VAT,CR,BL,createdDate,TotalDeliveredOrders,PaymentType,CreditDays,CreditLimit,Status,Validation,CreationType,CheckIn,CRExpiryDate,BLExpiryDate,StreetName,DistrictName,AdditionalNum,ZipCode,BuildingNumber,DC,AssignmentType,Geocode Quality,Full Corrected Address
,,,HAS001,,,CS021249,Petrolat.CO.2,,,,,,,1,TUE,25.38073,49.54385,"302,157,752,500,003","7,038,001,579",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021252,اسواق  الامانة  للمواد  الغذائية,,,,,,,2,SAT,25.44069,49.64335,"311,372,526,700,003","2,250,053,619",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021255,اسواق الامانة,,,,,,,2,TUE,25.48381,49.57629,"311,372,526,700,003","2,250,044,851",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021257,اسواق السنبلة,,,,,,,1,WED,25.41645,49.54985,"300,636,282,200,003","2,251,042,932",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021258,اسواق الفيصلية,,,,,,,2,TUE,25.44506,49.57430,"300,576,496,100,003","3,909,458,599",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021261,اسواق بترو المركزية,,,,,,,1,THU,25.42368,49.54498,"311,398,930,100,003","2,252,065,912",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021262,اسواق بتروالمركزية,,,,,,,1,SUN,25.38881,49.61357,"311,398,930,100,003","2,252,065,912",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021264,اسواق جاسم علي الرشيد,,,,,,,2,THU,25.52406,49.60894,"300,435,966,700,003","3,909,457,173",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021265,اسواق جرين ابل,,,,,,,2,THU,25.45036,49.64013,"300,421,464,200,003","2,250,057,752",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021267,اسواق جواهر الاتقان  2,,,,,,,2,SAT,25.43747,49.65528,"311,657,845,900,003","1,010,464,490",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021268,اسواق جوهرة النزهه للمواد الغذائية,,,,,,,2,WED,25.45085,49.60606,"310,620,949,900,003","1,039,452,600",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021273,اسواق سله الوطن للمواد الغذائيه,,,,,,,1,SAT,25.36404,49.56691,"311,830,676,100,003","2,511,129,497",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021278,اسواق عالمية المبرزللمواد الغذائية,,,,,,,1,SUN,25.40956,49.58984,"311,381,867,200,003","2,252,027,483",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021280,اسواق قمم طيبه,,,,,,,1,WED,25.40585,49.54170,"302,154,617,200,003","2,031,102,596",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021282,اسواق محاسن المركزية  2,,,,,,,1,THU,25.42837,49.53406,"300,377,309,100,003","2,252,050,132",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021284,اسواق مونة نجم للمواد الغذائية,,,,,,,1,MON,25.41303,49.56631,"311,372,526,700,003","2,252,105,069",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021285,اسواق مونه هجرللمواد الغذائية,,,,,,,1,THU,25.43026,49.52775,"311,308,195,900,003","2,252,039,408",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021287,اسواق ميدان الصفا,,,,,,,2,SAT,25.41732,49.66544,"311,265,646,900,003","2,031,106,300",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021293,اسواق هلا النخيل,,,,,,,1,TUE,25.36263,49.54638,"310,223,253,300,003","2,031,100,175",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021303,أسرتي الجميلة,,,,,,,1,WED,25.40898,49.54450,"310,956,329,100,003","43,047,951,923",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021304,أسواق الخليج  2,,,,,,,2,TUE,25.45399,49.58344,"300,088,895,500,003","2,251,101,691",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021315,بصمه المتمكن للمواد الغذائيه,,,,,,,1,SUN,25.39875,49.62522,"300,564,513,600,003","3,909,477,139",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021318,بقالة الاحساء,,,,,,,2,WED,25.46844,49.61863,"305,003,666,900,003","2,252,101,856",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021321,بقالة الرضا,,,,,,,2,SUN,25.41269,49.72156,"300,508,158,700,003","2,250,376,096",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021322,بقالة الماس الساطع للمواد الغذائية,,,,,,,2,TUE,25.48155,49.59560,"310,699,189,700,003","3,909,481,401",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021325,بقالة امواج  الاحساء للمواد الغذائية,,,,,,,1,WED,25.41604,49.53326,"310,645,328,800,003","2,252,104,677",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021326,بقالة انوار الامين,,,,,,,1,MON,25.41772,49.58178,"300,439,307,300,003","2,252,104,361",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021327,بقالة بتسام اسماعيل,,,,,,,2,THU,25.52383,49.60454,"300,425,211,600,003","2,250,052,370",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021329,بقالة جيل الطيبين,,,,,,,2,THU,25.44908,49.64492,"311,300,859,300,003","4,403,107,041",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021332,بقالة دلفين للمواد الغذائية,,,,,,,2,SAT,25.43596,49.66450,"311,500,800,500,003","22,503,745,562",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021333,بقالة دنيا الشموخ للمواد الغذائية,,,,,,,1,SAT,25.36862,49.57980,"311,556,267,400,003","450,413,536,045",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021334,بقالة ذعار فلحان شليويح المقاطي للمواد الغذائية,,,,,,,1,TUE,25.36163,49.54122,"311,059,594,400,003","1,010,749,171",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021339,بقالة زياد القادسية للمواد الغذائية,,,,,,,1,MON,25.41161,49.56646,"311,082,412,700,003","2,252,063,684",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021340,بقالة سناب للمواد الغذائية,,,,,,,2,SAT,25.43709,49.65753,"311,441,690,200,003","3,909,478,239",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021341,بقالة عالم المدينة,,,,,,,2,WED,25.46441,49.61432,"300,376,099,400,003","3,909,483,029",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021342,بقالة عبدالله واصل بن عبدالله العامر للمواد الغذائ,,,,,,,1,MON,25.41486,49.58757,"310,479,130,700,003","2,252,104,164",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021344,بقالة عميل  1,,,,,,,1,MON,25.39336,49.58104,"300,481,142,100,003","2,250,067,553",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021345,بقالة عميل  2,,,,,,,2,SAT,25.43584,49.66746,"300,481,142,100,003","1,037,904,115",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021346,بقالة عين الخدود,,,,,,,1,SUN,25.37931,49.60714,"310,215,425,500,003","2,251,492,053",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,HAS001,,,CS021347,بقالة فاتحة خير للمواد الغذائية,,,,,,,1,MON,25.41026,49.57515,"310,912,799,400,003","2,252,105,544",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
