Area,Region,City,Zone,AgentId,AgentName,CusId,CusName,BuyerPhone,ReceiverPhone,FinancePhone,CH,SubChannel,F,StartWeeks,Days,Latitude,Longitude,VAT,CR,BL,createdDate,TotalDeliveredOrders,PaymentType,CreditDays,CreditLimit,Status,Validation,CreationType,CheckIn,CRExpiryDate,BLExpiryDate,StreetName,DistrictName,AdditionalNum,ZipCode,BuildingNumber,DC,AssignmentType,Geocode Quality,Full Corrected Address
,,أبو عريش,JIZ003,AG00282,Ahmed Ghanem,CS002346,أسواق ريعان الخير للمواد الغذائية,"508,290,171",,,Traditional Trade,Small Grocery,,1,SAT,16.97327,42.83500,"311,726,300,100,003","5,901,724,012","42,075,301,506",2024-09-15,7,Credit,9,965.8500000,In-Active,Approved by Finance,Agent Registration,Required,2024-10-31,2025-01-15,الزهور,مدينة أبو عريش,2395,84414,6447,JIZAN,Zone,,
,,جيزان,JIZ003,AG00223,Mohamed Abdelghaffar,CS002405,وافر (جازان),"501,757,243",,,Traditional Trade,Large Grocery,,1,WED,16.88288,42.58987,"310,883,959,400,003","5,900,127,114","43,079,322,195",2023-11-12,11,Credit,0,0.0000000,ACTIVE,Approved by Finance,Agent Registration,Required,2025-01-29,2026-01-08,طريق الملك فيصل,الزهور,0,0,0,JIZAN,Assignment,,
,,جيزان,JIZ003,AG00282,Ahmed Ghanem,CS002411,تموينات الامل الراقي للمواد الغذائية,"504,293,651",,,Traditional Trade,Small Grocery,,1,SAT,16.97492,42.83509,"301,016,762,600,003","5,901,012,661","40,011,579,309",2024-09-15,12,Credit,30,5000.0000000,ACTIVE,Approved by Finance,Agent Registration,Required,2025-07-08,2024-10-16,عمرو بن العاص,الزهور,1,84414,1,JIZAN,Zone,,
,,جازان,JIZ003,AG00282,Ahmed Ghanem,CS002416,تموينات خدمة الزبون (صامطه),"558,486,329",,,Traditional Trade,Medium Grocery,,2,WED,16.63007,42.94972,"310,033,811,800,003","2,050,219,309","7,007,067,494",2023-11-12,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2026-05-05,2025-05-15,طريق الملك عبدالله,النور والصفا,0,0,0,JIZAN,Zone,,
,,جازان,JIZ003,AG00282,Ahmed Ghanem,CS002441,مستودع المركز الاخضر للتسويق (جازان),"539,127,812",,,Traditional Trade,Large Grocery,,1,MON,16.87817,42.63370,"310,123,763,400,003","5,900,037,602","3,909,272,847",2023-11-14,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,طريق الملك فيصل بن عبدالعزيز,المروج ٢,0,0,0,JIZAN,Zone,,
,,جيزان,JIZ003,AG00282,Ahmed Ghanem,CS002446,شركة المركز الأخضر للتسويق,"555,076,852",,,Traditional Trade,Medium Grocery,,1,WED,16.88863,42.57527,"310,123,763,400,003","5,900,030,153","3,909,668,627",2024-09-15,10,Credit,30,736.7400000,ACTIVE,Approved by Finance,Agent Registration,NOT Required,2025-06-08,2025-03-12,شارع,المطار,0,31492,0,JIZAN,Zone,,
,,جيزان,JIZ003,AG00282,Ahmed Ghanem,CS002455,شركة جنات النخيل التجارية,"562,742,473",,,Traditional Trade,Medium Grocery,,1,SAT,16.97173,42.84983,"311,368,989,200,003","5,900,132,627","440,611,254,822",2024-09-15,30,Credit,12,3078.2200000,ACTIVE,Approved by Finance,Agent Registration,NOT Required,2024-06-07,2024-12-31,العراقة,مدينة أبو عريش,0,84211,0,JIZAN,Zone,,
,,أبو عريش,JIZ003,AG00282,Ahmed Ghanem,CS002456,شركة زاد العائلة (ابوعريش),"564,539,037",,,Traditional Trade,Large Grocery,,1,SAT,16.97276,42.85136,"311,511,799,200,003","5,901,010,888","390,992,848",2023-11-15,1,,0,500.0000000,ACTIVE,Approved by Finance,Agent Registration,NOT Required,2024-12-16,2024-10-19,طريق الامير سلطان بن عبدالعزيز,مدينة أبو عريش,0,0,0,JIZAN,Zone,,
,,جيزان,JIZ003,AG00282,Ahmed Ghanem,CS002501,شركة حياة الشرق للمواد الغذائية,"538,038,715",,,Traditional Trade,Medium Grocery,,1,MON,16.92800,42.74423,"302,192,006,500,003","5,900,110,489","40,052,038,933",2024-09-15,20,Credit,15,1469.7100000,ACTIVE,Approved by Finance,Agent Registration,Required,2026-05-31,2025-11-15,شارع,القلعة,4958,82833,6954,JIZAN,Zone,,
,,أبو عريش,JIZ003,AG00282,Ahmed Ghanem,CS002558,أسواق محمد صالح الحريبي المركزية,"505,788,955",,,Traditional Trade,Medium Grocery,,1,SUN,16.96074,42.82276,"300,286,794,500,003","5,901,022,489","390,997,164",2024-09-15,12,Credit,20,1243.1700000,ACTIVE,Approved by Finance,Agent Registration,NOT Required,2024-10-22,2025-02-24,طريق الامير سلطان,مدينة أبو عريش,6904,84522,2855,JIZAN,Zone,,
