Area,Region,City,Zone,AgentId,AgentName,CusId,CusName,BuyerPhone,ReceiverPhone,FinancePhone,CH,SubChannel,F,StartWeeks,Days,Latitude,Longitude,VAT,CR,BL,createdDate,TotalDeliveredOrders,PaymentType,CreditDays,CreditLimit,Status,Validation,CreationType,CheckIn,CRExpiryDate,BLExpiryDate,StreetName,DistrictName,AdditionalNum,ZipCode,BuildingNumber,DC,AssignmentType,Geocode Quality,Full Corrected Address
,,,KAJ002,,,CS005338,مؤسسة قمة الوحد,,,,,,,2,THU,22.02407,46.55926,"300,876,302,700,003","1,015,002,369",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,KAJ002,,,CS005339,تموينات دانات الخليج للمواد الغذائية,,,,,,,2,THU,21.99387,46.54156,"310,396,176,500,003","7,017,609,194",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,KAJ002,,,CS005340,تموينات الريان 2,,,,,,,2,THU,22.04392,46.57422,"310,287,397,200,003","7,008,289,113",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,KAJ002,,,CS005880,مؤسسة مزنة محمد الصخابرة,,,,,,,2,THU,22.02407,46.55925,"302,081,103,300,003","1,015,002,098",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,KAJ002,,,CS005881,شركة فنار الطاقة للوقود,,,,,,,2,THU,22.03648,46.56705,"310,534,635,800,003","7,009,217,345",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,KAJ002,,,CS009096,أسواق طيبه للمواد الغذائية,,,,,,,2,THU,21.96444,46.51358,"311,354,164,800,003","1,118,004,417",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,KAJ002,,,CS009388,مؤسسة هند سعد بن طشلان العتيبي التجارية,,,,,,,2,THU,22.02270,46.55878,"311,003,620,100,003","7,025,406,088",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,KAJ002,,,CS009502,محل البندري فالح دايل الدوسري للمواد الغذائية,,,,,,,2,THU,22.03050,46.56181,"310,401,929,900,003","1,015,109,769",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,KAJ002,,,CS009503,بقالة الريان اليوم للمواد الغذائية,,,,,,,2,THU,22.03041,46.56401,"310,585,442,300,003","1,015,110,009",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,KAJ002,,,CS009575,مؤسسة العروبة الجنوب للمواد الغذائية,,,,,,,2,THU,22.02493,46.55958,"310,188,042,200,003","1,015,109,294",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
