Area,Region,City,Zone,AgentId,AgentName,CusId,CusName,BuyerPhone,ReceiverPhone,FinancePhone,CH,SubChannel,F,StartWeeks,Days,Latitude,Longitude,VAT,CR,BL,createdDate,TotalDeliveredOrders,PaymentType,CreditDays,CreditLimit,Status,Validation,CreationType,CheckIn,CRExpiryDate,BLExpiryDate,StreetName,DistrictName,AdditionalNum,ZipCode,BuildingNumber,DC,AssignmentType,Geocode Quality,Full Corrected Address
Khamis Mushait,South,ابها,KHA001,AG00312,Ahmed Mahmoud,CS002339,تموينات رعد الجنوب,"558,860,374",,,Traditional Trade,Medium Grocery,,2,SUN,18.12882,42.52498,"302,139,324,800,003","5,850,134,689","440,811,738,179",2024-09-15,16,Credit,14,1082.6900000,ACTIVE,Approved by Finance,Agent Registration,Required,2025-12-05,2025-02-13,شارع,العرين,4086,62511,8116,KHAMES MUSHAIT,Zone,,
Khamis Mushait,South,خميس مشيط,KHA001,AG00312,Ahmed Mahmoud,CS002340,ساس مارت,"546,210,914",,,Traditional Trade,Large Grocery,,2,SUN,18.11251,42.52674,"300,733,778,500,003","1,010,831,735","44,000,000,000,093",2023-11-08,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2024-09-12,2025-02-17,طريق جيزان,نطاق خدمة الامانه,0,0,0,KHAMES MUSHAIT,Zone,,
Khamis Mushait,South,خميس مشيط,KHA001,AG00312,Ahmed Mahmoud,CS002343,اسواق السنابل,"550,509,962",,,Traditional Trade,Medium Grocery,,2,SUN,17.92574,42.45812,"311,253,936,200,003","5,860,615,782","39,091,651,328",2023-11-08,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,0,المخاضة,0,0,0,KHAMES MUSHAIT,Zone,,
Khamis Mushait,South,خميس مشيط,KHA001,AG00312,Ahmed Mahmoud,CS002345,ساس مارت,"532,740,510",,,Traditional Trade,Medium Grocery,,2,SUN,17.90662,42.44880,"310,520,543,300,003","4,408,117,269","44,000,000,000,094",2023-11-08,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,1979-11-20,1979-11-20,طريق جيزان,المفجر,0,0,0,KHAMES MUSHAIT,Zone,,
Khamis Mushait,South,خميس مشيط,KHA001,AG00312,Ahmed Mahmoud,CS002347,مركز عين العرب للتسوق,"555,392,464",,,Traditional Trade,Medium Grocery,,2,SUN,17.88245,42.38206,"310,161,705,900,003","590,013,836","440,611,255,408",2023-11-08,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,صندل 1972,فرع الامانه بمريه,0,0,0,KHAMES MUSHAIT,Zone,,
Khamis Mushait,South,ابها,KHA001,AG00312,Ahmed Mahmoud,CS002348,تموينات وادي قرضة للمواد الغذائية,"532,137,257",,,Traditional Trade,Medium Grocery,,2,SUN,18.11362,42.52679,"310,652,655,700,003","5,850,135,139","43,069,264,015",2024-09-15,14,Credit,0,683.4900000,ACTIVE,Approved by Finance,Agent Registration,Required,2025-12-31,2025-12-18,طريق جيزان,الياقوت,3489,62521,9060,KHAMES MUSHAIT,Zone,,
Khamis Mushait,South,ابها,KHA001,AG00312,Ahmed Mahmoud,CS002412,أسواق خدمة الزبون المركزية,"532,121,717",,,Traditional Trade,Medium Grocery,,1,WED,18.23506,42.50074,"310,033,811,800,003","5,850,145,760","3,909,176,163",2024-09-15,27,Credit,20,4056.1800000,ACTIVE,Approved by Finance,Agent Registration,Required,2028-09-30,2025-09-12,حي الشرقية,المروج,2463,62542,6583,KHAMES MUSHAIT,Zone,,
Khamis Mushait,South,ابها,KHA001,AG00312,Ahmed Mahmoud,CS002568,سوق الحضاره,"599,605,743",,,Traditional Trade,Medium Grocery,,2,WED,18.23188,42.59461,"300,807,265,600,003","5,855,015,733","7,014,031,343",2023-11-28,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-02-18,2024-12-22,شارع موسى بن عقبه,البديع,0,0,0,KHAMES MUSHAIT,Zone,,
Khamis Mushait,South,ابها,KHA001,AG00312,Ahmed Mahmoud,CS002569,اسواق بتيل,"509,685,770",,,Traditional Trade,Medium Grocery,,2,WED,18.22793,42.59473,"310,337,922,800,003","5,850,123,304","48,112,483,888",2023-11-28,1,,0,0.0000000,In-Active,Missing Documents,Agent Registration,Required,,,شارع الازاهى,البديع,0,0,0,KHAMES MUSHAIT,Zone,,
Khamis Mushait,South,ابها,KHA001,AG00312,Ahmed Mahmoud,CS002573,تموينات جوهرة الميناء للتجاره,"555,050,585",,,Traditional Trade,Medium Grocery,,2,TUE,18.22266,42.55316,"310,320,203,500,003","5,850,122,951","440,410,913,260",2023-11-29,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,131 المروج,المروج,0,0,0,KHAMES MUSHAIT,Zone,,
