Area,Region,City,Zone,AgentId,AgentName,CusId,CusName,BuyerPhone,ReceiverPhone,FinancePhone,CH,SubChannel,F,StartWeeks,Days,Latitude,Longitude,VAT,CR,BL,createdDate,TotalDeliveredOrders,PaymentType,CreditDays,CreditLimit,Status,Validation,CreationType,CheckIn,CRExpiryDate,BLExpiryDate,StreetName,DistrictName,AdditionalNum,ZipCode,BuildingNumber,DC,AssignmentType,Geocode Quality,Full Corrected Address
,,,KHBR001,,,CS010572,مؤسسة فرح الميسان للمواد الغذائية,,,,,,,1,THU,26.27649,50.18388,"311,085,174,300,003","7,030,975,721",,2024-09-15,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,JEDDAH,Zone,,
,,,KHBR001,,,CS017808,مؤسسة ظافر سعد القرني التجارية,,,,,,,2,TUE,26.21807,50.20683,"300,538,874,400,003","2,051,052,912",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017809,بقالة خيرات الخبر للمواد الغذائية,,,,,,,2,TUE,26.21177,50.20799,"302,115,331,600,003","2,051,227,772",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017810,تموينات الاصدقاء,,,,,,,2,TUE,26.21363,50.20780,"310,329,378,300,003","2,051,026,030",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017811,شركة ديما ماركت العالمية  2,,,,,,,2,TUE,26.22401,50.19633,"310,981,678,500,003","2,051,174,065",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017812,اسواق العواد,,,,,,,1,SAT,26.30199,50.21355,"300,907,375,700,003","2,051,048,265",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017813,موسسه نجوم القمه التجاريه,,,,,,,1,SAT,26.29783,50.21661,"300,317,988,600,003","2,050,219,925",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017814,تموينات فواز النهدي,,,,,,,1,WED,26.28321,50.18142,"311,305,925,800,003","2,055,125,194",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017815,تموينات هلا الديار,,,,,,,1,SUN,26.28473,50.21848,"310,169,317,100,003","2,050,140,762",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017816,شركة نجوم الخيرات التجارية 5,,,,,,,2,WED,26.20205,50.18955,"311,305,925,800,003","2,055,125,194",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017817,شركة نرجس الغذائية التجارية 1,,,,,,,2,SAT,26.25418,50.21457,"311,305,925,800,003","2,055,125,194",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017818,شركة واحة الشاطئ للمواد الغذائية,,,,,,,1,WED,26.30040,50.17329,"311,256,367,900,003","2,050,075,253",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017859,تموينات شمس العائلة للمواد الغذائية,,,,,,,2,TUE,26.21549,50.20728,"310,041,355,300,003","2,051,029,610",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017860,تموينات امال الجسر للمواد الغذائية,,,,,,,2,WED,26.20542,50.20244,"310,068,976,500,003","2,051,173,302",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017861,بقالة أبو لولو,,,,,,,2,WED,26.20310,50.20222,"300,431,836,700,003","43,099,752,182",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017865,تموينات تفاحتى للمواد الغذائية,,,,,,,1,THU,26.27348,50.18619,"311,568,282,200,003","2,051,054,371",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017866,تموينات السلة الكاملة للمواد الغذائية,,,,,,,2,TUE,26.20883,50.18962,"311,043,286,600,003","2,051,055,166",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017867,تموينات نور الخزامي,,,,,,,2,WED,26.20857,50.18972,"311,394,198,400,003","2,051,039,890",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017868,مركز المدار,,,,,,,2,SUN,26.24934,50.19894,"310,153,460,500,003","7,006,349,349",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017869,تموينات عالم عبادى التجارية,,,,,,,1,TUE,26.26953,50.19678,"310,275,731,600,003","7,013,194,944",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017870,مؤسسة طيبات المزرعة التجارية,,,,,,,2,SUN,26.26509,50.18918,"302,208,776,800,003","2,051,055,901",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017871,مؤسسة كواكب للمواد الغذائية 3,,,,,,,1,TUE,26.27280,50.20651,"300,477,688,400,003","2,051,230,083",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017872,بقالة أنور,,,,,,,1,MON,26.28743,50.19997,"310,405,006,500,003","2,051,226,995",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017873,تموينات حمدان العتيبي,,,,,,,1,MON,26.29104,50.20264,"311,048,712,200,003","2,063,033,084",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017874,موسسه عبدالعزيز ابراهيم العوفي التجاريه,,,,,,,1,MON,26.29431,50.19718,"300,826,963,200,003","2,051,228,060",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017875,بقاله زادنا  التجاريه,,,,,,,1,WED,26.29795,50.18405,"311,301,806,200,003","2,051,239,096",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017876,تموينات مركز ريم,,,,,,,1,MON,26.29142,50.20027,"300,486,749,200,003","2,051,151,261",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017877,بقالة ايمن الشايب  1,,,,,,,1,MON,26.29972,50.19838,"300,415,754,200,003","3,909,661,021",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017880,تموينات حي الشراع للمواد الغذائيه,,,,,,,2,THU,26.15270,50.15623,"302,048,299,700,003","2,051,172,914",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017881,بقالة اصداف الخبر للمواد الغذائية,,,,,,,2,THU,26.15458,50.14350,"310,526,639,600,003","7,025,152,989",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,KHBR001,,,CS017882,شركة ديما ماركت العالمية  1,,,,,,,2,THU,26.15644,50.13390,"310,981,678,500,003","2,051,174,065",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
