Area,Region,City,Zone,AgentId,AgentName,CusId,CusName,BuyerPhone,ReceiverPhone,FinancePhone,CH,SubChannel,F,StartWeeks,Days,Latitude,Longitude,VAT,CR,BL,createdDate,TotalDeliveredOrders,PaymentType,CreditDays,CreditLimit,Status,Validation,CreationType,CheckIn,CRExpiryDate,BLExpiryDate,StreetName,DistrictName,AdditionalNum,ZipCode,BuildingNumber,DC,AssignmentType,Geocode Quality,Full Corrected Address
Madina,West,المدينة المنورة,MADI001,AG00264,Osama Mohamed,CS001513,أسواق غانم الفريدي,"538,175,008",,,Traditional Trade,Medium Grocery,,2,SUN,24.38416,39.54602,"300,507,663,400,003","4,650,037,601","3,909,395,591",2023-09-10,2,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,ابو إسحاق بن المظفر البرني,ابو كبير,00000,42396,00,MADINAH,Zone,,
Madina,West,المدينة المنورة,MADI001,AG00264,Osama Mohamed,CS001541,أسواق النورس للمواد الغذائية,"567,005,905",,,Traditional Trade,Medium Grocery,,1,MON,24.52865,39.56183,"300,918,315,200,003","4,650,197,995","3,909,391,222",2024-09-15,7,Credit,14,1500.0000000,ACTIVE,Approved by Finance,Agent Registration,NOT Required,2024-11-12,2026-04-05,الزهرة,الزهرة,2434,42335,6969,MADINAH,Zone,,
Madina,West,المدينة المنورة,MADI001,AG00264,Osama Mohamed,CS001604,شركة سنابل الطيبة للتجارة,"509,331,255",,,Traditional Trade,Medium Grocery,,1,SUN,24.48936,39.51712,"311,329,170,400,003","4,650,199,851","41,032,594,223",2024-11-21,26,Credit,0,500.0000000,ACTIVE,Approved by Finance,Agent Registration,Required,2025-05-06,2025-03-29,طيبة,طيبة,6155,42356,5138,MADINAH,Zone,,
Madina,West,المدينة المنورة,MADI001,AG00264,Osama Mohamed,CS001608,مؤسسة قلعة المخيط الغذائية,"530,207,452",,,Traditional Trade,Medium Grocery,,1,SUN,24.49090,39.49176,"310,853,498,800,003","4,650,259,458","441,212,676,164",2024-09-15,7,Credit,30,500.0000000,ACTIVE,Approved by Finance,Agent Registration,Required,2025-06-20,2025-07-10,السـلام,ذي الحليفة,0,42357,0,MADINAH,Zone,,
Madina,West,المدينة المنورة,MADI001,AG00264,Osama Mohamed,CS001611,تموينات ومخابز خيرات الطيف,"567,402,650",0567402650,,Traditional Trade,Medium Grocery,,1,SUN,24.48448,39.51364,"310,479,665,200,003","4,650,233,476","440,711,480,109",2024-09-15,11,Credit,14,1200.0000000,ACTIVE,Approved by Finance,Agent Registration,Required,2025-07-14,2025-01-09,شارع,السلام,4460,42377,8109,MADINAH,Zone,,
Madina,West,المدينة المنورة,MADI001,AG00264,Osama Mohamed,CS001659,اسواق البحر المتحدة للمواد الغذائية,"507,272,912",,,Traditional Trade,Large Grocery,,2,THU,24.42907,39.65426,"300,649,173,400,003","4,650,196,136","3,909,407,226",2023-09-14,3,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,امير المؤمنين علي بن أبي طالب,الروابي,٠٠٠٠٠٠,٠٠٠٠٠,٠٠٠٠٠٠,MADINAH,Zone,,
Madina,West,المدينة المنورة,MADI001,AG00264,Osama Mohamed,CS001660,أسواق الزوادة المركزية الروابي,"533,767,901",,,Traditional Trade,Large Grocery,,2,THU,24.42277,39.63976,"300,511,595,800,003","4,650,072,566","3,909,379,943",2023-09-14,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,الملك عبدالله بن عبدالعزيز,الروابي,000,42315,00,MADINAH,Zone,,
Madina,West,المدينة المنورة,MADI001,AG00264,Osama Mohamed,CS001662,تموينات ومخابز المستهلك الحديث,"503,810,884",0503010884,,Traditional Trade,Medium Grocery,,2,THU,24.42142,39.64725,"311,326,323,100,003","4,650,218,870","41,073,491,835",2024-09-15,14,Credit,30,902.9800000,ACTIVE,Approved by Finance,Agent Registration,Required,2025-05-22,2026-01-11,الروابي,قباء,3053,42314,6248,MADINAH,Zone,,
Madina,West,المدينة المنورة,MADI001,AG00264,Osama Mohamed,CS001663,تموينات السعادة الذهبية للمواد الغذائية,"508,851,372",,,Traditional Trade,Large Grocery,,2,THU,24.41943,39.65536,"305,006,502,500,003","4,650,208,120","3,909,385,579",2023-09-14,6,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2024-01-10,2023-10-06,حي الروابي,الغراء,٠٠٠٠٠٠٠,٠٠٠٠٠٠,٠٠٠٠٠٠,MADINAH,Zone,,
Madina,West,المدينة,MADI001,AG00264,Osama Mohamed,CS001667,تموينات ايمان الرشيدي,"570,367,958",,,Traditional Trade,Small Grocery,,2,THU,24.41582,39.65839,"310,163,623,900,003","4,650,211,812","43,058,054,010",2024-09-15,6,Credit,16,500.0000000,ACTIVE,Approved by Finance,Agent Registration,Required,2025-07-08,2024-11-11,قباء,الروابي,6364,42242,3921,MADINAH,Zone,,
