Area,Region,City,Zone,AgentId,AgentName,CusId,CusName,BuyerPhone,ReceiverPhone,FinancePhone,CH,SubChannel,F,StartWeeks,Days,Latitude,Longitude,VAT,CR,BL,createdDate,TotalDeliveredOrders,PaymentType,CreditDays,CreditLimit,Status,Validation,CreationType,CheckIn,CRExpiryDate,BLExpiryDate,StreetName,DistrictName,AdditionalNum,ZipCode,BuildingNumber,DC,AssignmentType,Geocode Quality,Full Corrected Address
,,محايل عسير,MAHYL001,AG00263,Mohamed Abdelhamid,CS002533,تموينات دشه عوض للمواد الغذائيه,"556,417,351",,,Traditional Trade,Medium Grocery,,1,SAT,18.53916,42.07012,"311,749,830,500,003","5,860,620,814","44,121,254,681",2023-11-25,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-08-15,2024-08-06,محمد بن خليل الاحسائى,الضرس,0,0,0,KHAMES MUSHAIT,Zone,,
,,محايل عسير,MAHYL001,AG00263,Mohamed Abdelhamid,CS002535,اسواق عنوان المستقبل,"534,374,328",,,Traditional Trade,Medium Grocery,,1,SUN,18.52273,42.05945,"300,265,502,900,003","5,860,618,223","7,029,122,673",2023-11-25,3,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-04-15,2027-01-27,طريق الملك عبد العزيز,البصره,0,0,0,KHAMES MUSHAIT,Zone,,
,,محايل عسير,MAHYL001,AG00263,Mohamed Abdelhamid,CS002537,اسواق المسارات,"530,757,492",,,Traditional Trade,Medium Grocery,,1,TUE,18.53534,42.01831,"311,565,362,600,003","5,860,612,018","7,008,763,307",2023-11-25,6,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-06-15,2022-10-16,اسماعيل القاضى,الخالدية,0,0,0,KHAMES MUSHAIT,Zone,,
,,محايل عسير,MAHYL001,AG00263,Mohamed Abdelhamid,CS002538,تموينات سلة التسوق,"560,068,470",,,Traditional Trade,Medium Grocery,,1,TUE,18.53197,42.00722,"310,582,938,800,003","5,860,613,485","3,909,295,453",2023-11-25,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,الشارع العام,خارج حدود الاحياء,0,0,0,KHAMES MUSHAIT,Zone,,
,,محايل عسير,MAHYL001,AG00263,Mohamed Abdelhamid,CS002540,اسواق طيبه,"554,638,417",,,Traditional Trade,Medium Grocery,,1,THU,18.32665,41.90750,"301,132,158,500,003","5,850,117,479","41,042,633,542",2023-11-25,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,عمر بن الخطاب,بحر ابو سكينه,0,0,0,KHAMES MUSHAIT,Zone,,
,,محايل عسير,MAHYL001,AG00263,Mohamed Abdelhamid,CS002541,سوبر ماركت عسيرى للمواد الغذائيه,"557,716,092",,,Traditional Trade,Small Grocery,,1,THU,18.31542,41.90699,"300,988,765,900,003","5,860,049,517","40,062,060,385",2023-11-25,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,عمر بن الخطاب,بحر ابو سكينه,0,0,0,KHAMES MUSHAIT,Zone,,
,,محايل عسير,MAHYL001,AG00263,Mohamed Abdelhamid,CS002542,بقالة سميره محمد هادى عسيرى,"508,398,258",,,Traditional Trade,Small Grocery,,1,THU,18.31268,41.90739,"310,335,013,900,003","5,850,130,559","42,013,816,992",2023-11-25,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,شارع عام,بحر ابو سكينه,0,0,0,KHAMES MUSHAIT,Zone,,
,,عسير,MAHYL001,AG00263,Mohamed Abdelhamid,CS002543,أسواق و مخابز سيتي مارت للمواد الغذائية,"550,337,476",,,Traditional Trade,Large Grocery,,1,THU,18.32520,41.90759,"311,389,228,700,003","5,860,062,513","40,011,657,476",2024-09-15,1,Credit,0,3000.0000000,ACTIVE,Approved by Finance,Agent Registration,NOT Required,2025-10-20,2026-11-06,شارع,بلسمر,0,66631,0,KHAMES MUSHAIT,Zone,,
,,محايل عسير,MAHYL001,AG00263,Mohamed Abdelhamid,CS002544,سوبر ماركت اشراقة المستقبل,"501,784,092",,,Traditional Trade,Medium Grocery,,1,SUN,18.53483,42.09807,"300,636,863,100,003","5,861,020,447","440,912,016,516",2023-11-25,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,طريق المدينه المنوره,ذره,0,0,0,KHAMES MUSHAIT,Zone,,
,,رجال المع,MAHYL001,AG00263,Mohamed Abdelhamid,CS002550,تموينات البينة مون,"509,115,994",,,Traditional Trade,Large Grocery,,1,MON,18.27971,42.24102,"311,729,223,300,003","5,861,616,964","450,112,725,412",2024-09-15,3,Credit,0,997.0000000,ACTIVE,Approved by Finance,Agent Registration,Required,2025-07-20,2025-07-03,شارع,الخليج,0,66625,0,KHAMES MUSHAIT,Zone,,
