Area,Region,City,Zone,AgentId,AgentName,CusId,CusName,BuyerPhone,ReceiverPhone,FinancePhone,CH,SubChannel,F,StartWeeks,Days,Latitude,Longitude,VAT,CR,BL,createdDate,TotalDeliveredOrders,PaymentType,CreditDays,CreditLimit,Status,Validation,CreationType,CheckIn,CRExpiryDate,BLExpiryDate,StreetName,DistrictName,AdditionalNum,ZipCode,BuildingNumber,DC,AssignmentType,Geocode Quality,Full Corrected Address
Najran,South,ظهران الجنوب,NAG001,AG00260,Ezat Eldaba,CS002467,شركة سلسلة الثراء للتجارة,"550,122,035",,,Traditional Trade,Medium Grocery,,1,SUN,17.65298,43.52632,"311,241,423,800,003","5,858,036,126","40,082,101,130",2024-09-15,16,Credit,0,1457.2200000,ACTIVE,Approved by Finance,Agent Registration,Required,2025-02-28,2025-01-13,البستان,جنوب الظهران,2367,66294,8087,NAJRAN,Zone,,
Najran,South,ظهران الجنوب,NAG001,AG00260,Ezat Eldaba,CS002469,ماركت زين,"552,920,848",,,Traditional Trade,Medium Grocery,,1,SUN,17.62734,43.53729,"311,214,980,400,003","5,858,101,756","440,711,512,186",2023-11-18,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,طريق الملك خالد,الربيع,0,0,0,NAJRAN,Zone,,
Najran,South,نجران,NAG001,AG00260,Ezat Eldaba,CS002471,نوفا,"557,195,632",,,Traditional Trade,Medium Grocery,,1,TUE,17.52149,44.19159,"302,063,898,500,003","5,950,106,679","390,398,166",2023-11-18,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,ابو المعاطى الزكى,الاملاح,0,0,0,NAJRAN,Zone,,
Najran,South,نجران,NAG001,AG00260,Ezat Eldaba,CS002478,قرناس 2,"578,793,187",,,Traditional Trade,Medium Grocery,,1,WED,17.53005,44.20890,"310,204,489,700,003","5,950,119,469","3,909,399,885",2024-09-15,17,Credit,17,1052.3600000,ACTIVE,Approved by Finance,Agent Registration,Required,2025-06-05,2025-12-17,عبد الله بن مطيع,شمال الضباط,7353,66257,5002,NAJRAN,Zone,,
Najran,South,نجران,NAG001,AG00260,Ezat Eldaba,CS002888,بقالة صاغر,"559,661,675",,,Traditional Trade,Medium Grocery,,1,MON,17.60508,44.23266,"311,357,183,100,003","5,950,105,025","4,102,277,157",2024-01-07,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-04-29,2025-05-24,شارع عام,ابا الرشاش,0,0,0,NAJRAN,Zone,,
Najran,South,,NAG001,AG00260,Ezat Eldaba,CS004061,تموينات الين النهضه,"500,367,665",,,,,,1,WED,17.52634,44.22682,"310,389,743,700,003","43,037,253,933",,2024-09-15,0,,0,500.0000000,ACTIVE,,Potential,Required,,,,,,,,NAJRAN,Zone,,
Najran,South,نجران,NAG001,AG00260,Ezat Eldaba,CS004070,سلسلة الثراء للتجارة,"535,231,765",,,Traditional Trade,Medium Grocery,,1,SUN,17.49174,43.74666,"311,241,423,800,003","5,950,137,799","450,915,108,451",2024-09-15,11,Credit,0,1128.8700000,ACTIVE,Approved by Finance,Potential,Required,2025-01-22,2025-03-15,شارع,الفيصلية,0,66294,0,NAJRAN,Zone,,
Najran,South,نجران,NAG001,AG00260,Ezat Eldaba,CS004072,تموينات عطايا بلاس  للمواد الغذائية,"559,661,657",,,Traditional Trade,Small Grocery,,1,MON,17.62017,44.22523,"312,444,745,400,003","41,042,638,037","460,718,242,568",2024-09-15,2,Credit,14,7000.0000000,ACTIVE,Approved by Finance,Potential,NOT Required,2026-01-04,2025-12-28,شارع,القابل,0,66257,0,NAJRAN,Zone,,
Najran,South,ظهران الجنوب,NAG001,AG00260,Ezat Eldaba,CS004078,تموينات الواحة,"502,895,920",,,Traditional Trade,Small Grocery,,1,SUN,17.65515,43.52494,"310,395,606,200,003","5,858,100,944","40,041,971,409",2024-09-15,5,Credit,0,500.0000000,ACTIVE,Approved by Finance,Potential,Required,2025-06-08,2025-04-19,الرحيب,جنوب الظهران,6297,64262,3786,NAJRAN,Zone,,
Najran,South,نجران,NAG001,AG00260,Ezat Eldaba,CS004093,مؤسسة الزيتون الأولى التجارية,"562,940,351",0534082138,,Traditional Trade,Medium Grocery,,1,MON,17.57723,44.23462,"310,376,254,400,003","5,950,013,989","3,909,653,003",2024-09-15,1,Credit,17,500.0000000,ACTIVE,Approved by Finance,Potential,Required,2024-11-12,2025-09-24,ابو الحسن الثابت,الفهد,5338,66273,8588,NAJRAN,Zone,,
Najran,South,ظهران الجنوب,NAG001,AG00260,Ezat Eldaba,CS004096,تموينات واحة كتام للتجارة,"563,982,533",,,Traditional Trade,Medium Grocery,,1,SUN,17.62507,43.54272,"311,129,415,200,003","5,858,101,652","451,216,012,440",2024-09-15,21,Credit,21,1538.5300000,ACTIVE,Approved by Finance,Potential,Required,2024-12-11,2025-06-10,البلد,جنوب الظهران,8615,64261,4039,NAJRAN,Zone,,
