Area,Region,City,Zone,AgentId,AgentName,CusId,CusName,BuyerPhone,ReceiverPhone,FinancePhone,CH,SubChannel,F,StartWeeks,Days,Latitude,Longitude,VAT,CR,BL,createdDate,TotalDeliveredOrders,PaymentType,CreditDays,CreditLimit,Status,Validation,CreationType,CheckIn,CRExpiryDate,BLExpiryDate,StreetName,DistrictName,AdditionalNum,ZipCode,BuildingNumber,DC,AssignmentType,Geocode Quality,Full Corrected Address
,,الرس,QAS001,AG00271,Ahmed Marawn,CS003027,تموينات سلة ريفان,"530,241,056",,,Traditional Trade,Medium Grocery,,2,MON,25.85326,43.47686,"311,111,111,111,113","1,132,110,793",8,2025-01-07,4,Credit,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-05-12,2026-01-09,شارع,الاحتفالات,7150,58872,4009,BURAIDAH,Zone,,
,,بريدة,QAS001,AG00271,Ahmed Marawn,CS015514,اسواق ثمرة وبستان للمواد الغذائية,"557,355,647",,,Traditional Trade,Medium Grocery,,1,TUE,26.31041,44.01438,"310,410,729,200,003","1,131,329,974","450,413,678,439",2025-01-07,0,,0,0.0000000,In-Active,Approved by Finance,Potential,Required,2025-07-10,2025-10-29,شارع,البساتين,2506,52336,7038,BURAIDAH,Zone,,
,,,QAS001,AG00271,Ahmed Marawn,CS015515,تموينات المدينة,"503,606,230",,,,,,1,TUE,26.22247,44.03743,,,,2025-01-07,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,BURAIDAH,Zone,,
,,,QAS001,AG00271,Ahmed Marawn,CS015517,تموينات حلوي,,,,,,,1,WED,26.08473,44.00472,,,,2025-01-07,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,BURAIDAH,Zone,,
,,القصيم,QAS001,AG00271,Ahmed Marawn,CS015520,تموينات زاد تالين للمواد الغذائية,"563,265,893",,,Traditional Trade,Medium Grocery,,1,TUE,26.31089,43.97159,"310,839,476,400,003","1,131,340,130","43,109,902,131",2025-01-07,5,Credit,30,500.0000000,ACTIVE,Approved by Finance,Potential,Required,2025-06-23,2025-04-21,الفصل التيمي,رياض الخبراء,0,50708,0,BURAIDAH,Zone,,
,,بريده,QAS001,AG00271,Ahmed Marawn,CS015521,تموينات سلة العقيلات للمواد الغذائية,"572,167,310",,,Traditional Trade,Large Grocery,,1,TUE,26.34092,43.95791,"311,256,004,400,003","1,131,306,014","3,909,431,311",2025-01-07,1,Credit,0,0.0000000,In-Active,Approved by Finance,Potential,Required,2025-03-09,2025-05-09,شارع,البدائع,3633,52359,7760,BURAIDAH,Zone,,
,,,QAS001,AG00271,Ahmed Marawn,CS015522,تموينات سواعد العائلة,,,,,,,1,TUE,26.27856,43.98490,,,,2025-01-07,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,BURAIDAH,Zone,,
,,,QAS001,AG00271,Ahmed Marawn,CS015525,شركة افران الحطب,,,,,,,2,SUN,25.96066,43.44001,,,,2025-01-07,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,BURAIDAH,Zone,,
,,بريدة,QAS001,AG00271,Ahmed Marawn,CS015529,تموينات الماس السالميه للمواد الغذائية,"549,767,649",,,Traditional Trade,Medium Grocery,,1,TUE,26.29112,43.99075,"311,111,111,111,113","1,131,332,144","450,413,546,363",2025-01-07,2,Credit,0,0.0000000,In-Active,Approved by Finance,Potential,Required,2025-10-03,2025-09-25,شارع,السلمانيه,3203,52335,7927,BURAIDAH,Zone,,
,,,QAS001,AG00271,Ahmed Marawn,CS015531,تموينات مذاقي للمواد الغذائية,,,,,,,1,MON,26.36727,43.95601,,,,2025-01-07,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,BURAIDAH,Zone,,
