Area,Region,City,Zone,AgentId,AgentName,CusId,CusName,BuyerPhone,ReceiverPhone,FinancePhone,CH,SubChannel,F,StartWeeks,Days,Latitude,Longitude,VAT,CR,BL,createdDate,TotalDeliveredOrders,PaymentType,CreditDays,CreditLimit,Status,Validation,CreationType,CheckIn,CRExpiryDate,BLExpiryDate,StreetName,DistrictName,AdditionalNum,ZipCode,BuildingNumber,DC,AssignmentType,Geocode Quality,Full Corrected Address
,,عنك,QTF001,,,CS003331,أفراح الديرة,"540,733,746",,,Horca,Restaurant,,1,SUN,26.51379,49.98289,"300,503,853,600,003","2,053,103,809","42,065,171,620",2024-05-08,0,Credit,0,0.0000000,In-Active,Missing Documents,Agent Registration,Required,,,زين العابدين,الرية,,31911,,JEDDAH,Zone,,
,,القطيف,QTF001,,,CS003332,مركز واحة باب الخير للتجارة,"534,734,660",0534734660,,Traditional Trade,Large Grocery,,1,WED,26.56512,49.99391,"300,518,957,200,003","2,054,021,015","40,102,478,190",2024-05-08,0,Credit,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,ابو الجوزاء الربعي,البحاري,1,32661,1,JEDDAH,Zone,,
,,القطيف,QTF001,,,CS003336,محل زهرة الكرز للحلويات والمكسرات,"564,469,630",,,Horca,Restaurant,,1,MON,26.55006,50.01676,"310,823,699,400,003","2,053,125,631","450,814,800,396",2024-05-09,0,Credit,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-02-10,2025-02-06,القدس,المجيدية,0,32651,8927,JEDDAH,Zone,,
,,صفوة,QTF001,,,CS003353,اسواق 621,"507,795,301",0507795301,,Traditional Trade,Small Grocery,,2,WED,26.65743,49.94987,"311,381,903,200,003","2,063,009,190","441,012,033,640",2024-05-13,0,Credit,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,البيروني,المنار,1,1234,4112,JEDDAH,Zone,,
,,,QTF001,,,CS017712,مؤسسة عبدالله سلمان آل مغلق للمواد الغذائية,,,,,,,2,WED,26.65762,49.95143,"300,878,587,900,003","20,510,041,741",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,QTF001,,,CS017713,تموينات المليفي,,,,,,,2,WED,26.65369,49.95809,"300,404,972,700,003","2,063,027,915",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,QTF001,,,CS017714,تموينات منزل رأس تنورة للمواد الغذائية,,,,,,,2,THU,26.71422,50.05477,"310,342,696,400,003","2,055,611,685",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,QTF001,,,CS017715,مؤسسة موارد رحيمة التجارية,,,,,,,2,THU,26.71179,50.06471,"310,366,437,600,003","2,066,611,839",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,QTF001,,,CS017716,مركز فيصل,,,,,,,2,THU,26.70626,50.06489,"300,518,907,400,003","2,066,003,654",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
,,,QTF001,,,CS017718,مؤسسة سالم عقيل المنهالي التجارية,,,,,,,2,WED,26.65417,49.92467,"302,018,791,400,003","2,063,025,700",,2025-02-24,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,,Zone,,
