Area,Region,City,Zone,AgentId,AgentName,CusId,CusName,BuyerPhone,ReceiverPhone,FinancePhone,CH,SubChannel,F,StartWeeks,Days,Latitude,Longitude,VAT,CR,BL,createdDate,TotalDeliveredOrders,PaymentType,CreditDays,CreditLimit,Status,Validation,CreationType,CheckIn,CRExpiryDate,BLExpiryDate,StreetName,DistrictName,AdditionalNum,ZipCode,BuildingNumber,DC,AssignmentType,Geocode Quality,Full Corrected Address
,,,RID001,,,CS022042,مؤسسة سلامتكم للمواد الغذائية,,,,,,,1,WED,24.72450,46.85402,"303,304,438,500,003","441,112,303,575",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022043,تموينات افنان الشمري,,,,,,,1,WED,24.72448,46.85393,"303,304,438,500,003","441,112,303,575",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022066,اسواق ترفه نافع عيد الحربي التجارية,,,,,,,2,THU,24.74727,46.83675,"311,707,241,200,003","7,034,861,166",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022075,تموينات مسار الانماء,,,,,,,1,TUE,24.71981,46.85923,"311,432,691,200,003","7,031,005,916",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022087,تموينات فهده مقعد بن صنيتان العتيبي,,,,,,,2,WED,24.75368,46.83451,"310,799,077,900,003","7,026,667,506",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022088,تموينات قعدة مقعد العتيبي,,,,,,,2,WED,24.74194,46.82745,"310,799,077,900,003","7,026,667,506",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022089,تموينات فهده مقعد بن صنيتان العتيبي,,,,,,,2,THU,24.74215,46.82730,"310,799,077,900,003","7,026,667,506",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022095,مؤسسة احمد خلف الخالدي,,,,,,,2,TUE,24.73861,46.83344,"300,408,217,100,003","7,025,418,976",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022096,تموينات احمد خلف,,,,,,,2,TUE,24.73880,46.83335,"300,408,217,100,003","7,025,418,976",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022104,اسواق سهول حوران  2,,,,,,,2,SAT,24.73415,46.85396,"302,032,248,600,003","7,015,457,430",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022106,شركة رموز الخضراء للتجارة,,,,,,,2,TUE,24.74349,46.81376,"311,251,638,300,003","7,015,344,968",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022114,مؤسسة شيم العرب للتجارة,,,,,,,2,SAT,24.74248,46.84135,"310,102,745,900,003","7,010,325,152",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022131,تموينات انس فريح العنزي للمواد الغذائية 9,,,,,,,2,THU,24.75220,46.81897,"301,234,065,800,003","7,004,084,906",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022138,اسواق اغذية الشرق 13,,,,,,,1,THU,24.71676,46.82709,"310,121,212,300,003","7,003,102,139",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022141,المتجر المستهلك,,,,,,,2,SAT,24.74083,46.84237,"310,158,137,300,003","7,002,888,084",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022151,تموينات سلطان حمادي العيساوي,,,,,,,1,WED,24.71863,46.84586,"303,073,760,500,003","4,312,102,486",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022157,تموينات ضحيه خابور سبيل الحسني العنزي للمواد الغذا,,,,,,,2,THU,24.74472,46.83218,"311,011,628,500,003","4,301,602,507",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022158,تموينات رياض القلعة,,,,,,,2,THU,24.74642,46.83095,"302,212,957,900,003","4,301,602,507",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022159,تموينات هاجر محمد عشوي العنزي للمواد الغذائية,,,,,,,2,WED,24.73429,46.83711,"302,213,236,900,003","4,009,217,640",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022160,تموينات محمد محمود محمد الشامخ,,,,,,,1,WED,24.72415,46.84776,"302,073,760,500,003","4,009,217,640",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022163,منال ماطر المرقي  1,,,,,,,2,MON,24.72845,46.83081,"310,603,386,200,003","2,252,037,153",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022164,تموينات منال ممدوح العنزي  2,,,,,,,2,WED,24.72999,46.83833,"310,603,386,200,003","2,252,037,153",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022220,تموينات لمي سليمان فالح الدوسري,,,,,,,2,SAT,24.73218,46.82807,"310,447,947,700,003","1,011,151,795",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022259,تموينات أصول السرعة,,,,,,,1,SUN,24.69128,46.85115,"301,048,969,600,003","1,011,137,968",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022260,اصول الراشديه,,,,,,,1,SUN,24.69120,46.85097,"301,048,969,600,003","1,011,137,968",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022290,تموينات انس فريح العنزي للمواد الغذائية 4,,,,,,,2,SAT,24.71566,46.84038,"301,234,065,800,003","1,010,997,155",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022293,تموينات أنس,,,,,,,1,SUN,24.68797,46.84318,"301,234,065,800,003","1,010,997,155",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022294,مؤسسة رياض الخير للمواد الغذائيه 4,,,,,,,1,SAT,24.68668,46.84464,"300,256,099,700,003","1,010,996,818",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022310,اسواق الفجر,,,,,,,2,MON,24.71962,46.83143,"300,013,733,500,003","1,010,950,562",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022311,أسواق الفجر المخفضة للمواد الغذائية,,,,,,,2,MON,24.71917,46.83157,"300,013,733,500,003","1,010,950,562",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022332,شركة اروع الغذاء للمواد الغذائية,,,,,,,1,SUN,24.69685,46.84446,"311,331,027,200,003","1,010,935,952",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022333,اسواق اروع الغذاء,,,,,,,1,SUN,24.69761,46.84580,"311,331,027,200,003","1,010,935,952",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022379,اسواق الذ الاطعمة المركزية,,,,,,,2,WED,24.78223,46.83163,"300,019,799,400,003","1,010,873,299",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022408,بوينت - شركة ألفا الغرب التجارية - النسيم,,,,,,,2,TUE,24.74931,46.81925,"310,945,024,800,003","1,010,839,386",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022412,مجمع مذاق السكريه,,,,,,,1,MON,24.69677,46.85546,"311,443,619,500,003","1,010,835,900",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022416,تموينات دروب رحلتي فرع الخليج,,,,,,,2,THU,24.78104,46.82129,"300,948,261,800,003","1,010,833,886",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022420,تموينات سيف الندوة,,,,,,,2,SAT,24.71928,46.82552,"312,094,266,800,003","1,010,830,453",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022422,تموينات مسار وجهة غذائية,,,,,,,1,MON,24.70742,46.84530,"311,390,422,400,003","1,010,830,452",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022423,مؤسسه وفائي للتجاره,,,,,,,2,MON,24.72766,46.83721,"311,390,422,400,003","1,010,830,452",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022442,اسواق عندنا التجارية,,,,,,,1,THU,24.73138,46.82540,"302,129,533,300,003","1,010,816,099",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022443,تموينات عندنا,,,,,,,2,MON,24.73921,46.84991,"302,129,533,300,003","1,010,816,099",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022454,شركة سيف مارت للمواد الغذائية,,,,,,,1,SUN,24.69009,46.84148,"312,138,506,500,003","1,010,809,624",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022480,تموينات نبع الأغذية للمواد الغذائية,,,,,,,2,TUE,24.75410,46.83247,"311,240,906,900,003","1,010,791,486",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022482,تموينات نبع الاغذيه 2,,,,,,,2,WED,24.75498,46.83134,"311,240,906,900,003","1,010,791,486",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
,,,RID001,,,CS022483,تموينات نبع الاغذية2,,,,,,,2,WED,24.75502,46.83131,"311,240,906,900,003","1,010,791,486",,2025-04-23,0,,0,500.0000000,ACTIVE,Missing Documents,Potential,Required,,,,,,,,RIYADH,Zone,,
