Area,Region,City,Zone,AgentId,AgentName,CusId,CusName,BuyerPhone,ReceiverPhone,FinancePhone,CH,SubChannel,F,StartWeeks,Days,Latitude,Longitude,VAT,CR,BL,createdDate,TotalDeliveredOrders,PaymentType,CreditDays,CreditLimit,Status,Validation,CreationType,CheckIn,CRExpiryDate,BLExpiryDate,StreetName,DistrictName,AdditionalNum,ZipCode,BuildingNumber,DC,AssignmentType,Geocode Quality,Full Corrected Address
,,تبوك,TAB001,AG00308,Attia Zeid,CS002341,صالة تبوك الاقتصاديه,"534,024,347",,,Traditional Trade,Medium Grocery,,2,TUE,28.40634,36.54608,"311,209,687,700,003","3,550,134,676","44,000,000,000,029",2023-11-08,6,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-07-25,2024-11-26,طريق الملك خالد,الراجحي,0000000,0000000,00000000,TABUK,Zone,,
,,تبوك,TAB001,AG00308,Attia Zeid,CS002344,أسواق بيت دارك التجارية,"535,035,978",,,Traditional Trade,Large Grocery,,2,TUE,28.38879,36.57193,"310,730,494,500,003","3,550,134,129","42,034,075,415",2025-05-27,3,Credit,14,1000.0000000,ACTIVE,Approved by Finance,Agent Registration,Required,2025-07-28,2024-09-27,شارع,الفيصلية الجنوبية,0,44417,0,TABUK,Zone,,
,,تبوك,TAB001,AG00308,Attia Zeid,CS002349,شركة حنين تبوك للمواد الغذائية,"509,509,005",,,Traditional Trade,Large Grocery,,2,TUE,28.38641,36.58711,"311,304,244,700,003","3,550,127,967","40,102,472,088",2025-02-24,4,Credit,14,1500.0000000,ACTIVE,Approved by Finance,Agent Registration,Required,2026-04-23,2026-03-08,شارع,الفيصلية الشمالية,0,44421,0,TABUK,Zone,,
,,تبوك,TAB001,AG00308,Attia Zeid,CS002353,أسواق شعلة الريان المتميزه المركزية,"5,550,078,203",,,Traditional Trade,Large Grocery,,1,SAT,28.46202,36.56057,"310,883,902,300,003","3,550,141,249","3,909,334,002",2025-02-24,11,Credit,14,1500.0000000,ACTIVE,Approved by Finance,Agent Registration,Required,2025-10-24,2025-12-26,شارع,الريان,0,45781,0,TABUK,Zone,,
,,تبوك,TAB001,AG00308,Attia Zeid,CS002356,أسواق سماء الريان المتميزة للمواد الغذائية,"534,508,550",,,Traditional Trade,Medium Grocery,,1,SAT,28.45780,36.55559,"310,883,902,300,003","3,550,128,614","7,008,931,466",2023-11-08,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-03-20,2025-02-20,الدرعية,الريان,٠,٠,٠,TABUK,Zone,,
,,تبوك,TAB001,AG00275,Legal  Case,CS002357,اسواق سلة التوفير للمواد الغذائيه,"559,913,590",,,Traditional Trade,Medium Grocery,,1,SAT,28.45559,36.55273,"300,484,303,340,003","3,550,132,597","42,115,818,789",2023-11-08,4,,0,500.0000000,ACTIVE,Approved by Finance,Agent Registration,Required,2028-03-31,2028-03-26,الدرعيه,الرابيه,8376,47322,2485,TABUK,Assignment,,
,,تبوك,TAB001,AG00308,Attia Zeid,CS002360,أسواق الاغذية الشمالية الفريدة المركزية,"536,154,799",,,Traditional Trade,Medium Grocery,,1,SAT,28.44821,36.52526,"311,292,872,600,003","3,550,146,530","440,611,377,466",2023-11-08,7,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-07-01,2025-01-15,ابى هريرة,المصيف,٠,٠,٠,TABUK,Zone,,
,,تبوك,TAB001,AG00308,Attia Zeid,CS002369,اسواق درة المحارب,"533,535,222",,,Traditional Trade,Small Grocery,,1,SAT,28.42224,36.56455,"310,491,742,600,003","3,550,141,625","43,099,638,016",2023-11-09,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,شلرع,المروج,0000000pp,00000000,000000,TABUK,Zone,,
,,تبوك,TAB001,AG00284,Adham Korney,CS002374,شركة أسواق لولوة الوالدين للمواد الغذائية,"557,687,431",,,Traditional Trade,Large Grocery,,1,SAT,28.43286,36.55946,"311,377,541,900,003","3,550,135,615","42,065,193,890",2025-07-17,2,,0,500.0000000,ACTIVE,Approved by Finance,Agent Registration,Required,2027-02-25,2026-01-06,شارع,المروج,0,47315,0,TABUK,Assignment,,
,,تبوك,TAB001,AG00308,Attia Zeid,CS002375,مؤسسة درة المحارب للمواد الغذائية 2,"596,212,124",,,Traditional Trade,Small Grocery,,1,SAT,28.43008,36.55577,"310,491,742,600,003",0,"3,909,300,308",2023-11-09,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,شارع,المروج,000000000,000000000p,0000000,TABUK,Zone,,
