Area,Region,City,Zone,AgentId,AgentName,CusId,CusName,BuyerPhone,ReceiverPhone,FinancePhone,CH,SubChannel,F,StartWeeks,Days,Latitude,Longitude,VAT,CR,BL,createdDate,TotalDeliveredOrders,PaymentType,CreditDays,CreditLimit,Status,Validation,CreationType,CheckIn,CRExpiryDate,BLExpiryDate,StreetName,DistrictName,AdditionalNum,ZipCode,BuildingNumber,DC,AssignmentType,Geocode Quality,Full Corrected Address
Taif,West,الطائف,TAF001,AG00309,Ahmed Zirib,CS000149,أسواق قاصد كريم المركزية,"500,418,271",,,Traditional Trade,Small Grocery,,1,WED,21.45570,40.48333,"302,035,892,600,003","4,032,257,827","3,911,849,734",2024-09-15,42,Credit,15,3331.3900000,ACTIVE,Approved by Finance,Agent Registration,Required,2025-02-18,2026-07-22,شارع,سلطانة,0,26578,0,TAIF,Zone,,
Taif,West,الطائف,TAF001,AG00309,Ahmed Zirib,CS000253,بقالة الخيرات,"538,125,317",,,Traditional Trade,Small Grocery,,2,SAT,21.28169,40.40225,"310,522,951,500,003","4,032,039,702","39,111,018,632",2023-08-02,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-03-11,2024-11-20,ابن ماجد,معشي,7327,26522,4223,TAIF,Zone,,
Taif,West,الطائف,TAF001,AG00309,Ahmed Zirib,CS000254,مركز و تموينات العقيق,"510,309,602",,,Traditional Trade,Small Grocery,,2,SAT,21.28316,40.41213,"300,508,604,700,003","4,032,260,466","431,210,173,926",2024-09-15,17,Credit,25,521.9800000,In-Active,Approved by Finance,Agent Registration,Required,2025-05-26,2025-06-02,العقيق,العقيق,7486,26522,4995,TAIF,Zone,,
Taif,West,الطائف,TAF001,AG00309,Ahmed Zirib,CS000346,اسواق سلة القيم التجارية,"556,622,414",,,Traditional Trade,Medium Grocery,,2,SUN,21.35261,40.42858,"311,109,394,100,003","4,032,266,710","43,079,306,364",2024-09-15,25,Credit,30,3000.0000000,ACTIVE,Approved by Finance,Agent Registration,Required,2027-02-26,2025-03-08,شارع,الحلقة الغربية,3096,26563,6893,TAIF,Zone,,
Taif,West,الطائف,TAF001,AG00055,Abdullah Masoud,CS000510,شركة محل الوفره للمواد الغذائيه,"555,721,639",,,Traditional Trade,Large Grocery,,2,SUN,21.35159,40.42994,"310,320,006,200,003","4,032,234,083","3,911,884,097",2023-08-05,13,Credit,0,500.0000000,ACTIVE,Approved by Finance,Agent Registration,Required,2025-04-21,2026-02-01,اسماعيل الاشبيلي,الحلقة الغربية,11768,11457,22,TAIF,Assignment,,
Taif,West,الطائف,TAF001,AG00309,Ahmed Zirib,CS000519,مؤسسة هدير الموج لتجارة الجملة و التجزئة,"532,031,412",,,Traditional Trade,Medium Grocery,,2,THU,21.29985,40.38947,"310,238,740,800,003","4,032,263,385","440,410,886,165",2024-09-15,30,Credit,15,1252.8800000,ACTIVE,Approved by Finance,Agent Registration,Required,2586-01-24,2024-11-12,مسرة 102,مسرة,0,26522,0,TAIF,Zone,,
Taif,West,الطائف,TAF001,AG00309,Ahmed Zirib,CS000525,اسواق العكيك للمواد الغذائية,"573,155,030",,,,,,2,THU,21.30856,40.36846,"302,112,599,200,003","4,032,201,543","44,000,000,000,086",2023-08-06,11,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-04-16,2024-11-12,العام,الهدى,4317,26792,8714,TAIF,Zone,,
Taif,West,الطائف,TAF001,AG00309,Ahmed Zirib,CS000531,سوبر ماركت الصوفي,"505,709,913",,,,,,2,THU,21.36843,40.27383,"300,217,163,900,003","4,032,019,424","39,111,009,836",2023-08-06,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,العام,المهالي,3344,22160,2245,TAIF,Zone,,
Taif,West,الطائف,TAF001,AG00309,Ahmed Zirib,CS000534,تموينات البندر الغذائية,"558,506,177",,,Traditional Trade,Small Grocery,,2,THU,21.36597,40.26904,"310,280,464,600,003","4,032,244,230","3,911,964,392",2023-08-06,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-08-25,2025-02-01,طريق الهداء الدائري,الهدى,4317,26792,8714,TAIF,Zone,,
Taif,West,الطائف,TAF001,AG00055,Abdullah Masoud,CS000540,تموينات حياكم,"549,374,369",,,Traditional Trade,Medium Grocery,,2,THU,21.35069,40.27896,"300,274,289,500,003","4,032,037,136","39,111,018,140",2024-09-15,4,Credit,0,500.0000000,ACTIVE,Approved by Finance,Agent Registration,Required,2586-12-05,2024-12-05,طريق الهدا,الهدا,1,26792,1,TAIF,Assignment,,
Taif,West,الطائف,TAF001,AG00055,Abdullah Masoud,CS000543,بقالة الامل للمواد الغذائية,"578,412,535",,,Traditional Trade,Medium Grocery,,2,THU,21.35096,40.29777,"300,879,146,900,003","4,032,031,799","41,103,575,163",2024-09-15,8,Credit,0,500.0000000,ACTIVE,Approved by Finance,Agent Registration,Required,2025-02-27,2025-07-13,شارع الهدا الدائري,الهدا,1,26792,1,TAIF,Assignment,,
Taif,West,الطائف,TAF001,AG00309,Ahmed Zirib,CS000547,تموينات جبال الهدا للمواد الغذائية,"551,083,334",,,,,,2,THU,21.35129,40.28070,"310,265,210,700,003","4,032,237,520","42,023,991,230",2023-08-06,2,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-05-20,2025-08-13,طريق الدائري,الهدى,3660,26516,7919,TAIF,Zone,,
Taif,West,الطائف,TAF001,AG00309,Ahmed Zirib,CS000549,تموينات المساعدية,"537,173,749",,,Traditional Trade,Medium Grocery,,2,THU,21.35434,40.27589,"300,233,258,100,003","4,032,038,321","39,111,047,728",2024-09-15,10,Credit,30,683.2900000,ACTIVE,Approved by Finance,Agent Registration,Required,2025-08-29,2024-11-21,طريق الهدا الدائري,الهدا,0,26792,0,TAIF,Zone,,
Taif,West,الطائف,TAF001,AG00309,Ahmed Zirib,CS000641,تموينات قوت بلس,"590,465,761",,,Traditional Trade,Medium Grocery,,2,WED,21.42746,40.48211,"300,881,779,200,003","4,030,402,537","39,111,024,697",2024-09-15,35,Credit,30,1726.3500000,ACTIVE,Approved by Finance,Agent Registration,Required,2025-11-21,2024-09-09,شارع,الحوية,7174,26571,3127,TAIF,Zone,,
Taif,West,الطائف,TAF001,AG00309,Ahmed Zirib,CS000646,اسواق جوهرة مسره,"500,580,448",,,Traditional Trade,Medium Grocery,,2,THU,21.29293,40.39270,"300,231,542,900,003","4,032,156,034","39,111,057,825",2024-09-15,30,Credit,28,2026.4400000,ACTIVE,Approved by Finance,Agent Registration,Required,2024-10-17,2025-07-23,مسرة,مسرة,4836,26522,6935,TAIF,Zone,,
Taif,West,الطائف,TAF001,AG00309,Ahmed Zirib,CS000649,تموينات بركة مسرة للمواد الغذائية,"558,062,984",,,Traditional Trade,Medium Grocery,,2,THU,21.29719,40.38908,"311,522,631,400,003","4,032,265,208","440,711,408,267",2024-09-15,11,Credit,21,844.5600000,In-Active,Approved by Finance,Agent Registration,Required,2026-09-01,2025-01-01,شارع,مسرة,0,26522,0,TAIF,Zone,,
Taif,West,الطائف,TAF001,AG00309,Ahmed Zirib,CS000652,شركة ابرار الطائف التجارية,"535,417,727",,,Traditional Trade,Medium Grocery,,2,SAT,21.28925,40.41615,"311,235,410,500,003","4,032,150,518","41,012,556,921",2024-09-15,56,Credit,11,1227.7100000,In-Active,Approved by Finance,Agent Registration,Required,2025-02-15,2025-07-03,الارقم بن حارث,الفيصلية,0,26516,0,TAIF,Zone,,
Taif,West,الطائف,TAF001,AG00309,Ahmed Zirib,CS000653,العلي للمواد الغذائية,"548,416,164",,,,,,2,SAT,21.29458,40.41608,"311,178,724,100,003","3,550,142,972","39,111,064,255",2023-08-08,6,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,بن سويلم 85,بن سويلم,7375,47312,3712,TAIF,Zone,,
Taif,West,الطائف,TAF001,AG00055,Abdullah Masoud,CS000763,تموينات شارع الستين,"558,378,997",,,Traditional Trade,Medium Grocery,,1,THU,21.43699,40.49489,"310,333,453,400,003","4,032,253,095","41,083,501,049",2025-01-07,20,Credit,0,500.0000000,ACTIVE,Approved by Finance,Agent Registration,Required,2025-09-09,2025-02-05,شارع,سلطانة,6372,26576,5074,TAIF,Assignment,,
Taif,West,الطائف,TAF001,AG00309,Ahmed Zirib,CS000934,بقالة محمد الزهراني للمواد الغذائية,"532,420,549",,,Traditional Trade,Small Grocery,,2,TUE,21.29514,40.44362,"300,217,591,200,003","4,032,026,622","39,111,080,044",2024-09-15,37,Credit,30,1389.9500000,ACTIVE,Approved by Finance,Agent Registration,Required,2025-11-02,2024-08-21,شارع,الجفيجف,0,21944,0,TAIF,Zone,,
Taif,West,الطائف,TAF001,AG00055,Abdullah Masoud,CS000948,اسواق ومخابز هلا التجاريه,"582,355,045",,,Traditional Trade,Medium Grocery,,1,SUN,21.50036,40.48958,"311,370,660,400,003","4,032,257,396","3,911,974,403",2024-09-15,11,Credit,0,500.0000000,ACTIVE,Approved by Finance,Agent Registration,Required,2024-09-25,2025-08-19,عبد الكريم بن هيثم,الرحبة,1,24417,1,TAIF,Assignment,,
Taif,West,الطائف,TAF001,AG00055,Abdullah Masoud,CS000978,أسواق سلة الوفاء للمواد الغذائية,"532,820,041",,,Traditional Trade,Medium Grocery,,2,MON,21.33913,40.45317,"311,111,111,111,113","4,032,264,742","41,073,494,695",2024-09-15,6,Credit,0,500.0000000,ACTIVE,Approved by Finance,Agent Registration,Required,2025-12-15,2025-01-26,بشار عبد الحميد,الحلقة الشرقية,7166,26553,3248,TAIF,Assignment,,
Taif,West,الطائف,TAF001,AG00309,Ahmed Zirib,CS000981,سوبر ماركت العلي,"575,546,099",,,Traditional Trade,Medium Grocery,,2,TUE,21.29536,40.45301,"300,055,335,610,003","4,032,261,160","43,079,293,976",2024-09-15,11,Credit,22,570.4300000,ACTIVE,Approved by Finance,Agent Registration,Required,2025-07-09,2025-12-26,شارع,السلامة,7648,26525,3290,TAIF,Zone,,
