Area,Region,City,Zone,AgentId,AgentName,CusId,CusName,BuyerPhone,ReceiverPhone,FinancePhone,CH,SubChannel,F,StartWeeks,Days,Latitude,Longitude,VAT,CR,BL,createdDate,TotalDeliveredOrders,PaymentType,CreditDays,CreditLimit,Status,Validation,CreationType,CheckIn,CRExpiryDate,BLExpiryDate,StreetName,DistrictName,AdditionalNum,ZipCode,BuildingNumber,DC,AssignmentType,Geocode Quality,Full Corrected Address
,,مكة المكرمة,,AG00218,Mohamed Tammam,CS000001,testsignboard,"1,234,567,890",,,Traditional Trade,Small Grocery,,,,11.00000,-55.00000,"311,111,111,111,113","1,234,567,890","4,534,534,534",2023-07-01,0,,0,,ACTIVE,Approved by Finance,Agent Registration,NOT Required,2026-06-16,2028-05-24,test,الإسكان,,,,JEDDAH,Assignment,,
,,dummy,,,,CS000050,تموينات الخير والبركه,"531,093,513",,,,,,,,0.00000,0.00000,"310,248,647,600,003","4,030,167,355","4,030,167,355",,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,dummy,dummy,00,00000,dummy,JEDDAH,Zone,,
,,جدة,,,,CS000061,تموينات فاطمة,"576,909,370",,,,,,,,23.88594,45.07916,"302,049,516,200,003","4,030,493,520","440,611,203,525",2023-07-30,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2024-11-20,2023-12-15,الرازي,البوادي,0000,11111,0,JEDDAH,Zone,,
,,جدة,,,,CS000064,تموينات البركة,"561,320,184",,,,,,,,23.88594,45.07916,"310,367,417,100,003","4,030,355,320","39,111,419,730",2023-07-30,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,العام,البوادي,00,22352,0,JEDDAH,Zone,,
,,جدة,,,,CS000071,Nouf Grocery,"534,816,508",,,,,,,,23.88594,45.07916,"310,372,221,700,003","7,032,105,814","440,410,913,721",2023-07-30,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,بشار بن عدي,الربوة,00,23533,0,JEDDAH,Zone,,
,,الظهران,,,,CS000134,بايندر تستنغ,"506,853,876",,,Traditional Trade,Medium Grocery,,,,26.29441,50.15233,"311,111,111,111,113","2,580,258,055","12,345,678,978",2023-07-31,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,شارع النخيل,الجامعة,123,12333,123,JEDDAH,Zone,,
,,جدة,,,,CS000151,Alfaz Furniture,"3,333,333,333",,,Horca,Restaurant,,,,1.23000,1.24000,"311,111,111,111,113","8,458,164,319","523,524,315,666,166",2023-08-01,0,,0,0.0000000,In-Active,Needs Revise,Agent Registration,Required,2025-06-26,2025-06-26,Jail chungi,البوادي,102,247001,100,,Zone,,
,,مكة المكرمة,,,,CS000155,الخيرات الوطنية,"545,453,094",,,,,,,,23.88594,45.07916,"311,329,600,400,003","7,004,838,665","40,041,965,941",2023-08-01,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,عتاب بن أسيد,بطحاء قريش,00,24221,0,JEDDAH,Zone,,
,,جدة,,,,CS000172,w,7,,,Horca,Restaurant,,,,23.88594,45.07916,"311,111,111,111,113","1,234,509,876","987,654,321,123,456,800",2023-08-01,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,w,المحمدية,w,123543,w,JEDDAH,Zone,,
,,جدة,,,,CS000198,تموينات سهم الغربيةللمواد الغذائية,"541,189,394",,,,,,,,0.00000,0.00000,"302,092,446,800,003","4,030,370,001","440,711,606,124",2023-08-02,36,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2024-09-23,2024-02-03,الشارع الرئيسي,الاجواد,00,23461,0,JEDDAH,Zone,,
,,جدة,,,,CS000231,مطعم طحين و عجين,"544,896,345",,,,,,,,23.88594,45.07916,"311,076,743,300,003","4,030,341,488","39,111,343,311",2023-08-02,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,البساتين,البساتين,00,23718,0,JEDDAH,Zone,,
,,جدة,,,,CS000232,تموينات البراق,"599,433,950",,,,,,,,21.47791,39.36446,"300,108,274,300,003","4,030,140,993","1,100,148,264",2023-08-02,10,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,ش ابن القاسم,الحرازات,00,00000,0,JEDDAH,Zone,,
,,جدة,,,,CS000242,انعامكم للمواد الغذاية,"568,398,030",,,Traditional Trade,Small Grocery,,,,23.88594,45.07916,"311,516,021,200,003","4,030,496,934","43,047,921,338",2023-08-02,3,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,صلاح الدين الايوبي,الياقوت,00,23824,0,JEDDAH,Zone,,
,,جدة,,,,CS000272,اسواق الريان,"545,246,238",,,,,,,,23.88594,45.07916,"311,337,634,100,003","4,030,247,337","4,030,247,337",2023-08-03,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,المرجان,المرجان,00,23442,0,JEDDAH,Zone,,
,,جدة,,,,CS000308,تموينات الحرمين,"559,481,608",,,Traditional Trade,Medium Grocery,,,,23.88594,45.07916,"310,137,314,700,003","4,030,479,885","39,111,324,126",2023-08-03,2,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,النعيم,النعيم,00,23526,1,JEDDAH,Zone,,
,,جدة,,,,CS000317,تموينات الشهري,"538,939,684",,,,,,,,21.47924,39.37121,"310,664,137,800,003","4,030,387,248","4,030,387,248",2023-08-03,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,الحرازات,الحرازات,00,22374,1,JEDDAH,Zone,,
,,جدة,,,,CS000322,بقالة الهدي و النور,"536,922,359",,,Traditional Trade,Small Grocery,,,,23.88594,45.07916,"311,523,721,200,003","4,030,506,094","440,410,915,399",2023-08-03,3,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,عبدالله بن سلمة,الربوة,00,82612,1,JEDDAH,Zone,,
,,جدة,,,,CS000383,مركز المالكي,"593,921,155",,,,,,,,23.88594,45.07916,"300,103,318,400,003","4,030,148,884","401,110,117,613",2023-08-05,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,ad,النسيم,A,c,DAS,JEDDAH,Zone,,
,,مكة المكرمة,,,,CS000390,بقاله حميد,"543,260,016",,,,,,,,23.88594,45.07916,"311,111,111,111,113","4,031,245,013","42,075,254,998",2023-08-05,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,حاره المحاميد,الزاهر,00,00000,1,JEDDAH,Zone,,
,,جدة,,,,CS000391,تموينات ناف,"556,421,398",,,Traditional Trade,Medium Grocery,,,,0.00000,0.00000,"311,053,511,300,003","4,030,220,538","440,410,906,332",2024-12-10,8,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2026-01-26,2025-10-06,شارع,النسيم,0,23455,0,,Zone,,
,,مكة المكرمة,,,,CS000412,مركز تموينات المملكه,"565,729,815",,,,,,,,23.88594,45.07916,"300,241,973,200,003","4,031,249,908","3,909,492,982",2023-08-05,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2026-03-29,2025-10-04,حى الكليه,الزاهر,00,242222,1,JEDDAH,Zone,,
,,جدة,,,,CS000431,بقالة نهى,"500,406,187",,,,,,,,23.88594,45.07916,"311,111,111,111,113","4,030,400,093","42,075,291,435",2023-08-05,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,الهزيل الاشجعي,البوادي,00,00000,1,JEDDAH,Zone,,
,,مكة المكرمة,,,,CS000439,بقالة الخير,"530,753,592",,,,,,,,23.88594,45.07916,"311,404,798,600,003","4,031,270,681","3,909,526,667",2023-08-05,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-08-19,2024-09-25,خلاد السلمي,الزاهر,0,00000,1,JEDDAH,Zone,,
,,الطائف,,,,CS000447,haila,"553,914,435",,,,,,,,23.88594,45.07916,"311,111,111,111,113","2,085,988,000","40,021,698,345",2023-08-05,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,جابر بن حيان,قروى,00,00000,1,JEDDAH,Zone,,
,,مكة المكرمة,,,,CS000456,بقاله الامانه,"576,585,098",,,,,,,,23.88594,45.07916,"311,111,111,111,113","4,031,074,073","3,909,527,256",2023-08-05,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,الملجيه,العتيبية,00,00000,1,JEDDAH,Zone,,
,,جدة,,,,CS000458,تموينات أنصاف النجوم,"567,425,973",,,,,,,,21.47799,39.36059,"311,101,029,600,003","4,030,443,489","4,030,443,489",2023-08-05,2,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,شارع جاك,البركة,00,00000,1,JEDDAH,Zone,,
,,مكة المكرمة,,,,CS000460,بقاله الطيبين,"509,803,125",,,,,,,,23.88594,45.07916,"311,111,111,111,113","4,031,239,687","3,909,527,860",2023-08-05,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,الملجيه,العتيبية,00,24237,1,JEDDAH,Zone,,
