Area,Region,City,Zone,AgentId,AgentName,CusId,CusName,BuyerPhone,ReceiverPhone,FinancePhone,CH,SubChannel,F,StartWeeks,Days,Latitude,Longitude,VAT,CR,BL,createdDate,TotalDeliveredOrders,PaymentType,CreditDays,CreditLimit,Status,Validation,CreationType,CheckIn,CRExpiryDate,BLExpiryDate,StreetName,DistrictName,AdditionalNum,ZipCode,BuildingNumber,DC,AssignmentType,Geocode Quality,Full Corrected Address
,,المدينة المنورة,YUN001,AG00265,Youssef Nada,CS001807,اسواق القمة المركزية,"557,678,925",,,Traditional Trade,Large Grocery,,2,THU,24.08679,39.09382,"310,289,526,900,003","7,034,902,580","450,213,012,458",2023-09-20,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,الشارع العام,المسيجيد والقاحة,٠٠٠٠٠٠,٠٠٠٠٠٠,٠٠٠٠٠,YANBU,Zone,,
,,ينبع,YUN001,AG00265,Youssef Nada,CS001815,اسواق العبور الجديدة,"530,011,651",,,Traditional Trade,Large Grocery,,2,WED,24.09724,38.18769,"311,237,202,200,003","4,700,108,831","42,115,823,505",2023-09-20,3,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2026-02-02,2025-01-24,الطريق الدائري,البقاع,٠٠٠٠٠٠,٠٠٠٠٠٠,٠٠٠٠٠٠٠,YANBU,Zone,,
,,ينبع,YUN001,AG00265,Youssef Nada,CS001820,تموينات رواسي ينبع,"560,245,922",,,Traditional Trade,Medium Grocery,,2,SUN,24.11702,38.08828,"300,899,397,600,003","4,700,112,800","42,065,217,632",2024-09-15,5,Credit,14,1000.0000000,ACTIVE,Approved by Finance,Agent Registration,Required,2025-10-24,2024-12-27,شارع,الحوراء,8983,46424,4398,YANBU,Zone,,
,,ينبع,YUN001,AG00265,Youssef Nada,CS001821,تموينات جني الخير للمواد الغذائية,"543,141,431",,,Traditional Trade,Medium Grocery,,1,MON,24.12316,38.06725,"310,416,174,300,003","4,700,110,402","41,052,684,356",2024-12-15,5,Credit,24,1112.0000000,ACTIVE,Approved by Finance,Agent Registration,Required,2025-10-21,2025-11-14,شارع عام,العصيلي,6393,46427,2544,YANBU,Zone,,
,,ينبع,YUN001,AG00265,Youssef Nada,CS001966,تموينات حياة,"590,915,634",,,Traditional Trade,Medium Grocery,,2,TUE,24.07603,38.10122,"311,114,210,020,003","4,700,115,394","41,093,547,539",2023-09-29,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,شارع,الربيع,٠٠٠٠٠٠٠٠,٠٠٠٠٠٠,٠٠٠٠٠,YANBU,Zone,,
,,ينبع,YUN001,AG00265,Youssef Nada,CS001967,تموينات اختياري الاوفر,"530,094,874",,,Traditional Trade,Medium Grocery,,1,WED,24.07799,38.03629,"310,867,701,500,003","4,700,114,800","441,012,111,360",2024-09-15,4,Credit,14,500.0000000,ACTIVE,Approved by Finance,Agent Registration,Required,2025-09-29,2026-04-11,عمير بن عدي,الشاطئ,2509,46428,8445,YANBU,Zone,,
,,ينبع,YUN001,AG00265,Youssef Nada,CS001968,بقالة المجد,"56,399,651",,,Traditional Trade,Medium Grocery,,1,WED,24.07956,38.03944,"300,543,378,700,003","4,700,112,674","40,112,501,469",2023-09-30,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,عمر بن عبدالعزيز,الصريف,٠٠٠٠٠٠,٠٠٠٠٠,٠٠٠٠٠٠٠,YANBU,Zone,,
,,ينبع,YUN001,AG00265,Youssef Nada,CS001969,بقالة انوار رضوى للمواد الغذائية,"564,185,952",,,Traditional Trade,Medium Grocery,,1,WED,24.08314,38.05595,"310,168,341,900,003","7,021,595,967","42,125,961,348",2023-09-30,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,شارع,البلد,٠٠٠٠٠٠,٠٠٠٠٠,٠٠٠٠٠٠,YANBU,Zone,,
,,ينبع,YUN001,AG00265,Youssef Nada,CS001972,بقفالة الشعلة الثانية,"536,112,420",,,Traditional Trade,Medium Grocery,,1,WED,24.08816,38.05492,"300,980,358,200,003","4,700,020,137","441,112,466,972",2023-09-30,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-07-19,2026-05-15,الزهور 99,الزهور,٠٠٠٠٠٠,٠٠٠٠٠,٠٠٠٠٠٠,YANBU,Zone,,
,,ينبع,YUN001,AG00265,Youssef Nada,CS001978,تموينات سلوى,"501,880,974",,,Traditional Trade,Small Grocery,,1,WED,24.09309,38.05909,"310,828,403,600,003","4,700,116,024","43,089,549,794",2024-09-15,11,Credit,14,500.0000000,ACTIVE,Approved by Finance,Agent Registration,Required,2586-05-28,2025-03-05,الربوة,الربوة,7923,46424,3965,YANBU,Zone,,
